	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FOAM_FINGER	MY_FIRST_SHIELD	FINE_BRIE	PAPER_CROWN	FREE_MANS_CROWBAR
GREEN	PROTEIN_POWDER	BLOODY_BAT	BESSIES_BANE	ENCHANTED_ELBOW_PADS	RAW_EGG	STICK_ON_MOUSTACHE
GREEN_1	MUSCLE_WAX	BLISSFUL_IGNORANCE	PROTEIN_POWDER	THONG_OF_VITALITY	MY_FIRST_SHIELD	STICK_ON_MOUSTACHE
BLUE	ROBE_OF_SHARP_COMEBACKS	RAW_EGG	SIDE_OF_BACON	BAG_O_HAMMERS	PENETRABLE_ARMOR	DIRECTORS_CUT
BLUE_1	MUSSEL_MILK	IMPRACTICAL_CHESTPLATE	PROTEIN_POWDER	AXES_OF_DUAL_WIELDING	THONG_OF_VITALITY	DIRECTORS_CUT
BLUE_2	SUPER_SPIKEY_SPEAR	GENTLEMENS_CLUB	ARTIFACT_OF_UNIMAGINABLE_POWER	THE_COMPENSATOR	THONG_OF_VITALITY	DIRECTORS_CUT
PURPLE	HAMMER_OF_WICKED_BEATS	IMPRACTICAL_CHESTPLATE	EXCALIBURTREYNOLDS	ADAMANTIUM_TIARA	THE_MAD_GODS_TRIDENT	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	IMPRACTICAL_CHESTPLATE	BLOODY_BAT	DIPLOMATIC_IMMUNITY	LEAD_ZEPPELIN	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	ENIDS_EXPENSIVE_ELIXIR	THONG_OF_VITALITY	HAROLDS_HOMEMADE_HALBERD	MUSSEL_MILK	INTIMIDATING_BEARD
PURPLE_3	DRAGON_SCALE	SWORDY_MCEPICPANTS	ROBE_OF_SHARP_COMEBACKS	BIG_STABBY_SPEAR	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	OVERPOWERING_FRAGRANCE	DIPLOMATIC_IMMUNITY	PETER_PIPERS_PEPPER_SPRAY	SUPER_SPIKEY_SPEAR	IMPRACTICAL_CHESTPLATE
ORANGE	LIGER_BALM	BIG_STABBY_SPEAR	PURPLE_PILLS_OF_POTENCY	MYSTICAL_ELVEN_JUNK	SELF_PRESERVER	DECODER_RING_2_ORDER
ORANGE_1	UNICORN_PUKE	MONSTER_HUNTER_ARMOR	HELM_OF_THE_RAGING_BEAR	PETER_PIPERS_PEPPER_SPRAY	DRAGON_SCALE	DECODER_RING_3_ORDER
ORANGE_2	DIRTY_BASTARD_SWORD	ROLL_OF_DUCT_TAPE	DRAGONS_BALLZ	SELF_PRESERVER	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	AXE_OF_GRINDING	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	ORGANIC_BOOK_OF_NATURE	SWEATBAND_OF_TRAINING_MONTAGES	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	FLAMEY_POOFS	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	NEW_KNIGHT_IN_TOWN	VOLATILE_SMOOTHIE	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	CREATINE_CACTUS	ENGAGEMENT_KNUCKLES	HEAL_AID	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	BELL_OF_SILENCE	BRAIN_GUARD_9000	AXE_OF_GRINDING	PHAT_PANTS
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BEARLY_THERE_BOOTS	ENGAGEMENT_KNUCKLES
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	BELL_OF_SILENCE
CYAN_3	STEAM_ENGINE	MYSTERIOUS_EGG	DOUBLE_AXE	BLUNT_BLADE	GOLDEN_SLINGSHOT	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	MASK_OF_THE_ANCIENT_KING	IRON_CLAWS
RED						
