	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS
GREEN	RAW_EGG	GOBLIN_WHACKER	LOAFERS_OF_ALACRITY	MY_FIRST_SHIELD	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	MACE_OF_FRIENDSHIP	SIDE_OF_BACON	BESSIES_BANE	THONG_OF_VITALITY	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	AND_MY_AXE	BESSIES_BANE	NECRONOMICON	BLISSFUL_IGNORANCE	SOCK_FULL_O_PENNIES
BLUE_1	THE_MAD_GODS_TRIDENT	RACING_STRIPES	PENETRABLE_ARMOR	THE_COMPENSATOR	NONSTICK_SHIELD	SOCK_FULL_O_PENNIES
BLUE_2	ADAMANTIUM_TIARA	ROD_OF_TASING	GLOVES_OF_CRIT	HEAD_BANGER	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	SHOVEL	AXES_OF_DUAL_WIELDING	LOAFERS_OF_ALACRITY	SUPER_SPIKEY_SPEAR	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_1	HAROLDS_HOMEMADE_HALBERD	THE_UGLY_STICK	GOBLIN_WHACKER	DIPLOMATIC_IMMUNITY	THONG_OF_VITALITY	INTIMIDATING_BEARD
PURPLE_2	BIG_STABBY_SPEAR	HAMMER_OF_WICKED_BEATS	GOBLIN_WHACKER	GRIEVOUS_BODILY_HARM	BANJO_OF_DUELING	INTIMIDATING_BEARD
PURPLE_3	LAVISHLY_ADORNED_RAPIER	SHOVEL	THONG_OF_VITALITY	WIZARDY_FOR_IDIOTS	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	POCKET_PROTECTOR	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	ROD_OF_WITTY_PARTY_BANTER
ORANGE	JAR_OF_KITTEN_TEAR	PHOTO_BOMB	WICKED_MULLET	WIZARDY_FOR_IDIOTS	ROD_OF_WITTY_PARTY_BANTER	LASER_POINTER_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	AXE_OF_GRATUITOUS_GUITAR_SOLOS	DEERSTALKER_HAT	RING_OF_THE_SQUIRREL	CHUGG_BOOTS	LASER_POINTER_3_ORDER
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	CHAMPIONSHIP_BELT	PHOTO_BOMB	CHUGG_BOOTS	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	AMULET_OF_CONCENTRATED_AWESOME	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	GLASS_CANNON	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	BRAIN_PILLS	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	PHAT_PANTS	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	CRUDE_SNIPPERS	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	OGRES_BATTERING_RAM	RING_OF_FIRE	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	PHOENIX_TALISMAN	TRIASSIC_TRINKET	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MYSTERIOUS_EGG	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
