	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	FOAM_FINGER	GOBLIN_GROG
GREEN	SPARKLE_PONY_KEYCHAIN	BLOODY_BAT	LUCKY_ORCS_FOOT	SNAZZY_VEST	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	PRETTY_SWEET_CAPE	CHUNKY_FEMUR	TEN_FOOT_POLE	WAND_OF_GOLD_SPARKLES	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	THE_POWER_OF_MEDICINE	BESSIES_BANE	NECRONOMICON	SIDE_OF_BACON	STICK_ON_MOUSTACHE
BLUE_1	ROD_OF_BADASSERY	SNAKE_OIL	BLISSFUL_IGNORANCE	TOME_OF_FORBIDDEN_TRIVIA	RAW_EGG	STICK_ON_MOUSTACHE
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	THINKING_CAP	CHUNKY_FEMUR	ADAMANTIUM_TIARA	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	TOME_OF_NASTY_BEHAVIOR	LASER_POINTER	CHUNKY_FEMUR	FRAMED_DIPLOMA	TEN_FOOT_POLE	SOCK_FULL_O_PENNIES
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	LUCKY_ORCS_FOOT	THE_1_RING	THE_POWER_OF_MEDICINE	SOCK_FULL_O_PENNIES
PURPLE_2	SUPER_SPIKEY_SPEAR	LASER_POINTER_3_ORDER	VAMPIRE_BUNNYEARS	ADAMANTIUM_TIARA	SHOT_IN_THE_ARM	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	LASER_POINTER_4_ORDER	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	TOME_OF_FORBIDDEN_TRIVIA	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	FRAMED_DIPLOMA	ENIDS_EXPENSIVE_ELIXIR	THINKING_CAP
ORANGE	WAR_SANDALS	LOST_DISK_OF_POWER	WICKED_MULLET	JAR_OF_KITTEN_TEAR	ROD_OF_WITTY_PARTY_BANTER	LAVISHLY_ADORNED_RAPIER
ORANGE_1	IVY_LEAGUE_HAIRCUT	AXE_OF_GRATUITOUS_GUITAR_SOLOS	RING_OF_THE_SQUIRREL	DEERSTALKER_HAT	DRAGON_SCALE	MITHRIL_OREEAL
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	CHAMPIONSHIP_BELT	PHOTO_BOMB	CHUGG_BOOTS	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	HAIR_OF_THE_DOG	ROLL_OF_DUCT_TAPE	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	TUNNEL_VISION	ANCIENT_TOME_OF_OCCULT_NONSENSE	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BEARLY_THERE_BOOTS	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	PHAT_PANTS	EYE_OF_THE_BEHOLDER	HAIR_OF_THE_DOG
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	CAT_O_NINE_TAILS	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	NEW_KNIGHT_IN_TOWN
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	DRAGON_BLANKIE	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	MAI_TAI_OF_IMMUNITY	BOOK_OF_IRMAC	TRIASSIC_TRINKET	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	BONE_CRUSHING_PLIERS	DRAGONS_POCKET_WATCH	LOST_GREAVES	CRUDE_SNIPPERS	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	SAND_STORM	PRICKLING_WHIP
RED						
