	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	FREE_MANS_CROWBAR	PAPER_CROWN	MY_FIRST_SHIELD	ENCHANTED_ELBOW_PADS
GREEN	HEMP_BRACELET	MY_FIRST_SHIELD	SNAZZY_VEST	GOBLIN_WHACKER	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	TEN_FOOT_POLE	GOBLIN_WHACKER	FREE_MANS_CROWBAR	EXCALIBURTREYNOLDS	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	VAMPIRE_BUNNYEARS	BLOODY_BAT	BANJO_OF_DUELING	MY_FIRST_SHIELD	PLUCKY_HEROINES_SHORTBOW
BLUE_1	MUSSEL_MILK	THONG_OF_VITALITY	FREE_MANS_CROWBAR	GENTLEMENS_CLUB	BLISSFUL_IGNORANCE	PLUCKY_HEROINES_SHORTBOW
BLUE_2	DIRK_OF_DISEMBOWELING	THE_COMPENSATOR	VAMPIRE_BUNNYEARS	HEAD_BANGER	SWASH_BUCKLER	PLUCKY_HEROINES_SHORTBOW
PURPLE	SHOVEL	SPUD_GUN	LIFESIPPER	MUSSEL_MILK	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_1	LAVISHLY_ADORNED_RAPIER	THE_MAD_GODS_TRIDENT	TEN_FOOT_POLE	HAROLDS_HOMEMADE_HALBERD	AXES_OF_DUAL_WIELDING	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	ADAMANTIUM_TIARA	THONG_OF_VITALITY	DIRK_OF_DISEMBOWELING	DEATH_METAL_BLADE	INTIMIDATING_BEARD
PURPLE_3	LAVISHLY_ADORNED_RAPIER	TOME_OF_NASTY_BEHAVIOR	LIFESIPPER	BLACKSTEEL_BLADE	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	OVERPOWERING_FRAGRANCE	HEAD_BANGER	PETER_PIPERS_PEPPER_SPRAY	VORPAL_BOOMERANG	IMPRACTICAL_CHESTPLATE
ORANGE	RATTLING_SABRE	ANTI_MAGIC_SHIELD	READIN_RAIN_BOW	HAROLDS_HOMEMADE_HALBERD	LIFEDRINKER	DECODER_RING_3_ORDER
ORANGE_1	UNICORN_PUKE	HEALTHY_DOSE_OF_SKEPTICISM	DUELING_KNIVES_OF_HACKENSLASH	PETER_PIPERS_PEPPER_SPRAY	BLACKSTEEL_BLADE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	DRAGONS_BALLZ	WAR_SANDALS	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEALTHY_DOSE_OF_SKEPTICISM	POWER_OF_SCIENCE	READIN_RAIN_BOW
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	GLASS_CANNON	UNTESTED_JETPACK	RATTLING_SABRE	DEERSTALKER_HAT
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	TIME_KILLER	TIME_SAVER	FOUR_D_GLASSES	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	GROUND_GEARS	ENGAGEMENT_KNUCKLES	LIGHTNING_GREASE	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	STAY_BOARD	AMULET_OF_CONCENTRATED_AWESOME	LIGHTNING_GREASE
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	CRUDE_SNIPPERS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	RING_OF_FIRE	POISONED_DAGGER	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	DRAGONS_BLADE	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	RUBY_FLIP_FLOPS	HEART_HEALTH_CANDY	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	BONE_CRUSHING_PLIERS	DEVILS_POT	LOST_GREAVES	CAT_O_NINE_TAILS	FLOPPIN_FLIP_FLOPS
CYAN_4	DEDICATED_NINJA_DWARF	NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	SAND_STORM	DANCERS_BRA	IRON_CLAWS
RED	DEDICATED_NINJA_DWARF	FINS_OF_SEA_DRAGON	WARRIORS_HELMET	EXOTIC_FAN	END_CENTURY_FLAME_RADIATOR	FAMILY_TREE_OF_UMLAUT
