	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	PAPER_CROWN	BIT_O_NIP	PAPER_CROWN	ENCHANTED_ELBOW_PADS	FINE_BRIE
GREEN	SHINY_BOTTLECAP	SNAZZY_VEST	BLOODY_BAT	LUCKY_ORCS_FOOT	MY_FIRST_SHIELD	STICK_ON_MOUSTACHE
GREEN_1	THE_POWER_OF_MEDICINE	THONG_OF_VITALITY	FINE_BRIE	BLISSFUL_IGNORANCE	BIT_O_NIP	STICK_ON_MOUSTACHE
BLUE	SNAKE_OIL	MAGIC_EIGHT_BALL	BLOODY_BAT	SIDE_OF_BACON	ARTIFACT_OF_UNIMAGINABLE_POWER	HIPPY_GLO_STICKS
BLUE_1	THE_POWER_OF_MEDICINE_2_ORDER	TEN_FOOT_POLE	MELTY_CHOCOLATE_BAR	NECRONOMICON	VAMPIRE_BUNNYEARS	HIPPY_GLO_STICKS
BLUE_2	DIPLOMATIC_IMMUNITY	THE_COMPENSATOR	HEMP_BRACELET	SHOT_IN_THE_ARM	BLISSFUL_IGNORANCE	HIPPY_GLO_STICKS
PURPLE	THE_POWER_OF_MEDICINE_3_ORDER	MUSCLE_WAX	EXCALIBURTREYNOLDS	HAMMER_OF_WICKED_BEATS	SACRED_CODEX	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	FRAMED_DIPLOMA	IMPRACTICAL_CHESTPLATE	ENIDS_EXPENSIVE_ELIXIR	ADAMANTIUM_TIARA	INTIMIDATING_BEARD
PURPLE_2	THE_POWER_OF_MEDICINE_4_ORDER	PHILTER_OF_PURE_TESTOSTERONE	THONG_OF_VITALITY	THE_1_RING	IMPRACTICAL_CHESTPLATE	INTIMIDATING_BEARD
PURPLE_3	LIGER_BALM	LICHE_FINGER	THE_COMPENSATOR	SUPER_SPIKEY_SPEAR	NECRONOMICON	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	HIGH_TEA	HEAD_BANGER	SUPER_SPIKEY_SPEAR	OVERPOWERING_FRAGRANCE	THE_1_RING
ORANGE	LIGER_BALM	ANTI_MAGIC_SHIELD	PURPLE_PILLS_OF_POTENCY	MYSTICAL_ELVEN_JUNK	BIG_STABBY_SPEAR	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	GLASS_CASE_OF_EMOTION	HELM_OF_THE_RAGING_BEAR	MONSTER_HUNTER_ARMOR	HIGH_TEA	MITHRIL_OREEAL	CHUGG_BOOTS
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	ROLL_OF_DUCT_TAPE	HELM_OF_SCREAMING_MANFACE	SELF_PRESERVER	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	AXE_OF_GRINDING	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	ORGANIC_BOOK_OF_NATURE	SWEATBAND_OF_TRAINING_MONTAGES	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	HEAL_AID	TUNNEL_VISION	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	HEARTY_CHEST	NEW_KNIGHT_IN_TOWN	VOLATILE_SMOOTHIE	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	CREATINE_CACTUS	FRIENDZONITE	PHAT_PANTS	GLORY_SEEKER	ORGANIC_BOOK_OF_NATURE
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	CROWNING_ACHIEVEMENT	BRAIN_GUARD_9000	AXE_OF_GRINDING	LOST_CONCEPT_ART
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BEARLY_THERE_BOOTS	DODGY_JEWELRY
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	MYSTERIOUS_EGG	DOUBLE_AXE	LOST_GREAVES	MAD_GODS_MUG	HEART_HEALTH_CANDY
CYAN_4	DEDICATED_ORC_MONK	DRAGON_SAND_BOOTS	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED	DEDICATED_ORC_MONK	PIECE_OF_ACOLYTE_STATUE	DRAGON_SCALE_GROVE	EXPLOSIVE_CANNON	DRACONIAN_DISH	ANCIENT_COIN
