	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	FOAM_FINGER	GOBLIN_GROG
GREEN	SPARKLE_PONY_KEYCHAIN	BLOODY_BAT	LUCKY_ORCS_FOOT	SNAZZY_VEST	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	PRETTY_SWEET_CAPE	CHUNKY_FEMUR	TEN_FOOT_POLE	WAND_OF_GOLD_SPARKLES	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	THE_POWER_OF_MEDICINE	BESSIES_BANE	NECRONOMICON	SIDE_OF_BACON	STICK_ON_MOUSTACHE
BLUE_1	ROD_OF_BADASSERY	SNAKE_OIL	BLISSFUL_IGNORANCE	TOME_OF_FORBIDDEN_TRIVIA	RAW_EGG	STICK_ON_MOUSTACHE
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	THINKING_CAP	CHUNKY_FEMUR	ADAMANTIUM_TIARA	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	TOME_OF_NASTY_BEHAVIOR	LASER_POINTER	CHUNKY_FEMUR	FRAMED_DIPLOMA	TEN_FOOT_POLE	SOCK_FULL_O_PENNIES
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	LUCKY_ORCS_FOOT	THE_1_RING	THE_POWER_OF_MEDICINE	SOCK_FULL_O_PENNIES
PURPLE_2	SUPER_SPIKEY_SPEAR	LASER_POINTER_3_ORDER	VAMPIRE_BUNNYEARS	ADAMANTIUM_TIARA	SHOT_IN_THE_ARM	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	LASER_POINTER_4_ORDER	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	TOME_OF_FORBIDDEN_TRIVIA	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	POCKET_PROTECTOR	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	ROD_OF_WITTY_PARTY_BANTER
ORANGE	MYSTICAL_ELVEN_JUNK	PHOTO_BOMB	WICKED_MULLET	WIZARDY_FOR_IDIOTS	ROD_OF_WITTY_PARTY_BANTER	LASER_POINTER_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	HELM_OF_THE_RAGING_BEAR	DEERSTALKER_HAT	EXTREME_FAD_DIET	CHUGG_BOOTS	MITHRIL_OREEAL
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	CHUGG_BOOTS	THE_POWER_OF_MEDICINE_4_ORDER
ORANGE_3	GLORY_SEEKER	COSPLAY_SWORD	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HELM_OF_THE_RAGING_BEAR	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	ORBITAL_KITTY	RING_OF_ILL_WILL	GLASS_CANNON	ROLL_OF_DUCT_TAPE	JAR_OF_KITTEN_TEAR	MONSTER_HUNTER_ARMOR
ORANGE_5	UPHOLSTERED_THRONE	HEAL_AID	TUNNEL_VISION	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	GLASS_CANNON	CHAMPIONSHIP_BELT	RING_OF_ILL_WILL
ORANGE_8	FLATTERING_MIRROR	GIANTS_GROG	BELL_OF_SILENCE	BRAIN_GUARD_9000	AMULET_OF_CONCENTRATED_AWESOME	HEAL_AID
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	GOLDEN_SLINGSHOT	GROUND_GEARS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	DRAGON_BLANKIE	GIANTS_GROG	BRAIN_GUARD_9000	FRIENDZONITE
CYAN_2	HELMET_OF_FORESIGHT	WRAITH_BARRIER	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	BELL_OF_SILENCE
CYAN_3	IRON_HELMET_OF_BIKING	MYSTERIOUS_EGG	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	PYRAMID_POWER	SUNBLOCK_GOGGLES	MAGICAL_CREAM	WILDYS_HAT
RED						
