	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	FREE_MANS_CROWBAR	PAPER_CROWN	ENCHANTED_ELBOW_PADS	RUBBER_VEST
GREEN	LOAFERS_OF_ALACRITY	GOBLIN_WHACKER	SNAZZY_VEST	SWASH_BUCKLER	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	RACING_STRIPES	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	LIFESIPPER	BESSIES_BANE	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	THONG_OF_VITALITY	SNAZZY_VEST	BAG_O_HAMMERS	MAGIC_EIGHT_BALL	SOCK_FULL_O_PENNIES
BLUE_1	FLAIL_OF_TOTAL_DEVASTATION	AXES_OF_DUAL_WIELDING	GOBLIN_WHACKER	THE_COMPENSATOR	SPARKLE_PONY_KEYCHAIN	SOCK_FULL_O_PENNIES
BLUE_2	DIRK_OF_DISEMBOWELING	GENTLEMENS_CLUB	TEN_FOOT_POLE	GLAIVE_OF_DISMEMBERMENT	LIFESIPPER	PLUCKY_HEROINES_SHORTBOW
PURPLE	SHOVEL	MUSSEL_MILK	LOAFERS_OF_ALACRITY	SUPER_SPIKEY_SPEAR	MACE_OF_FRIENDSHIP	PLUCKY_HEROINES_SHORTBOW
PURPLE_1	LAVISHLY_ADORNED_RAPIER	DEATH_METAL_BLADE	LIFESIPPER	HEAD_BANGER	FLAIL_OF_TOTAL_DEVASTATION	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	AXES_OF_DUAL_WIELDING	VAMPIRE_BUNNYEARS	SHOVEL	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_3	DEAD_EYE	MJOLNIRBY	THONG_OF_VITALITY	SWORDY_MCEPICPANTS	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	SHOT_IN_THE_ARM_3_ORDER	HEAD_BANGER	RING_OF_THE_SQUIRREL	MUSSEL_MILK	THE_COMPENSATOR
ORANGE	RATTLING_SABRE	WAR_SANDALS	PURPLE_PILLS_OF_POTENCY	HAROLDS_HOMEMADE_HALBERD	GRIEVOUS_BODILY_HARM	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	UNICORN_PUKE	RING_OF_THE_SQUIRREL	HELM_OF_THE_RAGING_BEAR	DUELING_KNIVES_OF_HACKENSLASH	BLACKSTEEL_BLADE	DECODER_RING_3_ORDER
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	HELM_OF_SCREAMING_MANFACE	WAR_SANDALS	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AMULET_OF_CONCENTRATED_AWESOME	HELM_OF_THE_RAGING_BEAR	YODELING_SWORD	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	RING_OF_ILL_WILL	GLASS_CANNON	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	PHAT_PANTS	FLAMEY_POOFS	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	DIRTY_BASTARD_SWORD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	FLOPPIN_FLIP_FLOPS	GROUND_GEARS	ENGAGEMENT_KNUCKLES	HEAL_AID	HOLY_LANCE_OF_PLOT_ADVANCEMENT	GLASS_CANNON
ORANGE_8	LOST_GREAVES	POISONED_DAGGER	ILLUSORY_HURDLE	STAY_BOARD	AMULET_OF_CONCENTRATED_AWESOME	HEAL_AID
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	CAT_O_NINE_TAILS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	DRAGON_BLANKIE	POISONED_DAGGER	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	DRAGONS_BLADE	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	MYSTERIOUS_EGG	DEVILS_POT	LOST_GREAVES	CAT_O_NINE_TAILS	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	SAND_STORM	DANCERS_BRA	WILDYS_HAT
RED						
