	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	MY_FIRST_SHIELD	STOLEN_SNEAKERS	FREE_MANS_CROWBAR	RUBBER_VEST
GREEN	LOAFERS_OF_ALACRITY	GOBLIN_WHACKER	GOBLIN_GROG	SWASH_BUCKLER	SNAZZY_VEST	STICK_ON_MOUSTACHE
GREEN_1	RACING_STRIPES	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	SPARKLE_PONY_KEYCHAIN	ARCANE_SLACKS	STICK_ON_MOUSTACHE
BLUE	BAG_O_HAMMERS	THONG_OF_VITALITY	SNAZZY_VEST	ROD_OF_TASING	GENTLEMENS_CLUB	SOCK_FULL_O_PENNIES
BLUE_1	AXES_OF_DUAL_WIELDING	THE_COMPENSATOR	GOBLIN_WHACKER	LIFESIPPER	TEN_FOOT_POLE	SOCK_FULL_O_PENNIES
BLUE_2	DIRK_OF_DISEMBOWELING	FLAIL_OF_TOTAL_DEVASTATION	YA_VAMPIRE_SERIES	GLAIVE_OF_DISMEMBERMENT	BAG_O_HAMMERS	PLUCKY_HEROINES_SHORTBOW
PURPLE	SHOVEL	PLASTIC_VAMPIRE_TEETH	GOBLIN_WHACKER	MUSSEL_MILK	THONG_OF_VITALITY	PLUCKY_HEROINES_SHORTBOW
PURPLE_1	LAVISHLY_ADORNED_RAPIER	DEATH_METAL_BLADE	LIFESIPPER	SUPER_SPIKEY_SPEAR	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	DIRK_OF_DISEMBOWELING	GOBLIN_WHACKER	ENIDS_EXPENSIVE_ELIXIR	ROD_OF_TASING	INTIMIDATING_BEARD
PURPLE_3	DEAD_EYE	MUSSEL_MILK	THONG_OF_VITALITY	LICHE_FINGER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	EXTREME_FAD_DIET	SHOT_IN_THE_ARM_3_ORDER	SHOVEL	DIPLOMATIC_IMMUNITY	MUSSEL_MILK
ORANGE	RATTLING_SABRE	WAR_SANDALS	READIN_RAIN_BOW	DEAD_EYE	BIG_STABBY_SPEAR	LAVISHLY_ADORNED_RAPIER
ORANGE_1	GLASS_CASE_OF_EMOTION	BOWIE_KNIFE	DUELING_KNIVES_OF_HACKENSLASH	EXTREME_FAD_DIET	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	UNTESTED_JETPACK	HELM_OF_SCREAMING_MANFACE	WAR_SANDALS	CHUGG_BOOTS	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AXE_OF_GRINDING	BOWIE_KNIFE	YODELING_SWORD	READIN_RAIN_BOW
ORANGE_4	ORBITAL_KITTY	LITTLE_PRICKS	ORGANIC_BOOK_OF_NATURE	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	THE_HUSTLE	ENGAGEMENT_KNUCKLES	LIGHTNING_GREASE	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	STAY_BOARD	AMULET_OF_CONCENTRATED_AWESOME	LIGHTNING_GREASE
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	CRUDE_SNIPPERS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	RING_OF_FIRE	POISONED_DAGGER	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	DRAGONS_BLADE	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	RUBY_FLIP_FLOPS	HEART_HEALTH_CANDY	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	MAGICAL_PEST_MAST	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CRUDE_SNIPPERS	FLOPPIN_FLIP_FLOPS
CYAN_4		DRAGON_SAND_BOOTS	NAVIGATION_TO_THE_PAST	SUNBLOCK_GOGGLES	SAND_STORM	WILDYS_HAT
RED						
