	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	PAPER_CROWN	BIT_O_NIP	PAPER_CROWN	ENCHANTED_ELBOW_PADS	FINE_BRIE
GREEN	SHINY_BOTTLECAP	SNAZZY_VEST	BLOODY_BAT	LUCKY_ORCS_FOOT	MY_FIRST_SHIELD	STICK_ON_MOUSTACHE
GREEN_1	THE_POWER_OF_MEDICINE	THONG_OF_VITALITY	FINE_BRIE	BLISSFUL_IGNORANCE	BIT_O_NIP	STICK_ON_MOUSTACHE
BLUE	ROD_OF_TASING	SACRED_CODEX	NONSTICK_SHIELD	STAFF_OF_BOSS_FIGHTING	HEMP_BRACELET	STICK_ON_MOUSTACHE
BLUE_1	THE_POWER_OF_MEDICINE_2_ORDER	NECRONOMICON	CHUNKY_FEMUR	ORB_OF_EVERLASTING_FLAVOR	TEN_FOOT_POLE	BUTTER_KNIFE
BLUE_2	THE_1_RING	THE_COMPENSATOR	CHUNKY_FEMUR	LASER_POINTER	BLISSFUL_IGNORANCE	BUTTER_KNIFE
PURPLE	THE_POWER_OF_MEDICINE_3_ORDER	LASER_POINTER_2_ORDER	HEMP_BRACELET	DIPLOMATIC_IMMUNITY	RAW_EGG	BUTTER_KNIFE
PURPLE_1	LAVISHLY_ADORNED_RAPIER	HAROLDS_HOMEMADE_HALBERD	LOAFERS_OF_ALACRITY	SHOVEL	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_2	SANDWICH_OF_UNSURPASSED_MEATINESS	ADAMANTIUM_TIARA	IMPRACTICAL_CHESTPLATE	SVENS_SWORD_OF_DOOOOOM	AXES_OF_DUAL_WIELDING	INTIMIDATING_BEARD
PURPLE_3	DRAGON_SCALE	TOME_OF_NASTY_BEHAVIOR	THE_POWER_OF_MEDICINE_4_ORDER	BIG_STABBY_SPEAR	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	HIGH_TEA	POCKET_PROTECTOR	DIPLOMATIC_IMMUNITY	MUSSEL_MILK	TOME_OF_FORBIDDEN_TRIVIA
ORANGE	MYSTICAL_ELVEN_JUNK	SELF_PRESERVER	WICKED_MULLET	WIZARDY_FOR_IDIOTS	ROD_OF_WITTY_PARTY_BANTER	LASER_POINTER_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	HEALTHY_DOSE_OF_SKEPTICISM	DEERSTALKER_HAT	EXTREME_FAD_DIET	DRAGON_SCALE	DECODER_RING_3_ORDER
ORANGE_2	ORNATE_CROWN_OF_THE_GM	ROLL_OF_DUCT_TAPE	CHAMPIONSHIP_BELT	WAR_SANDALS	BLACKSTEEL_BLADE	OVERPOWERING_FRAGRANCE
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	AMULET_OF_CONCENTRATED_AWESOME	HEALTHY_DOSE_OF_SKEPTICISM	YODELING_SWORD	WICKED_MULLET
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	GLASS_CANNON	SWEATBAND_OF_TRAINING_MONTAGES	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	HEAL_AID	TUNNEL_VISION	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	NEW_KNIGHT_IN_TOWN	FOUR_D_GLASSES	TAROT_DECK_OF_HYPERBOLE	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	HEART_HEALTH_CANDY	CREATINE_CACTUS	DODGY_JEWELRY	PHAT_PANTS	GLORY_SEEKER	ORGANIC_BOOK_OF_NATURE
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	CROWNING_ACHIEVEMENT	BRAIN_GUARD_9000	AXE_OF_GRINDING	LOST_CONCEPT_ART
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BEARLY_THERE_BOOTS	DODGY_JEWELRY
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	MYSTERIOUS_EGG	DEVILS_POT	BLUNT_BLADE	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	MIRACLE_FURNACE_OF_BLACKSMITH	MASK_OF_THE_ANCIENT_KING	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
