	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	FOAM_FINGER	FINE_BRIE	GOBLIN_GROG	FOAM_FINGER	FREE_MANS_CROWBAR	MY_FIRST_SHIELD
GREEN	BLOODY_BAT	RAW_EGG	SHINY_BOTTLECAP	BLOODY_BAT	PROTEIN_POWDER	STICK_ON_MOUSTACHE
GREEN_1	MACE_OF_FRIENDSHIP	THONG_OF_VITALITY	BLOODY_BAT	AND_MY_AXE	SPARKLE_PONY_KEYCHAIN	STICK_ON_MOUSTACHE
BLUE	ROD_OF_TASING	LIFESIPPER	LUCKY_ORCS_FOOT	EXCALIBURTREYNOLDS	PROTEIN_POWDER	DIRECTORS_CUT
BLUE_1	MUSSEL_MILK	SNAZZY_VEST	THONG_OF_VITALITY	THE_MAD_GODS_TRIDENT	TEN_FOOT_POLE	DIRECTORS_CUT
BLUE_2	HEAD_BANGER	FLAIL_OF_TOTAL_DEVASTATION	MAGIC_EIGHT_BALL	VORPAL_BOOMERANG	BAG_O_HAMMERS	DIRECTORS_CUT
PURPLE	SUPER_SPIKEY_SPEAR	KINDNESS	BLISSFUL_IGNORANCE	SHOVEL	AXES_OF_DUAL_WIELDING	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	DIPLOMATIC_IMMUNITY	FLAIL_OF_TOTAL_DEVASTATION	MJOLNIRBY	DEATH_METAL_BLADE	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	SWORDY_MCEPICPANTS	LEAD_ZEPPELIN	PHILTER_OF_PURE_TESTOSTERONE	HAMMER_OF_WICKED_BEATS	INTIMIDATING_BEARD
PURPLE_3	GRIEVOUS_BODILY_HARM	BIG_STABBY_SPEAR	MUSSEL_MILK	DRAGON_SCALE	SUPER_SPIKEY_SPEAR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	EXTREME_FAD_DIET	DIPLOMATIC_IMMUNITY	MJOLNIRBY	OVERPOWERING_FRAGRANCE	DEATH_METAL_BLADE
ORANGE	LIGER_BALM	PHOTO_BOMB	PURPLE_PILLS_OF_POTENCY	MYSTICAL_ELVEN_JUNK	BIG_STABBY_SPEAR	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	GLASS_CASE_OF_EMOTION	EXTREME_FAD_DIET	BOWIE_KNIFE	MONSTER_HUNTER_ARMOR	MITHRIL_OREEAL	CHUGG_BOOTS
ORANGE_2	DIRTY_BASTARD_SWORD	SWEATBAND_OF_TRAINING_MONTAGES	HELM_OF_SCREAMING_MANFACE	ANTI_MAGIC_SHIELD	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	BOWIE_KNIFE	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	VOLATILE_SMOOTHIE	HAIR_OF_THE_DOG	SWEATBAND_OF_TRAINING_MONTAGES	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	FLAMEY_POOFS	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	CANNON_CANOE	VOLATILE_SMOOTHIE	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	FLOPPIN_FLIP_FLOPS	CREATINE_CACTUS	FRIENDZONITE	PHAT_PANTS	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	CROWNING_ACHIEVEMENT	BRAIN_GUARD_9000	AMULET_OF_CONCENTRATED_AWESOME	PHAT_PANTS
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BEARLY_THERE_BOOTS	ENGAGEMENT_KNUCKLES
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	FLOPPIN_FLIP_FLOPS	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	MYSTERIOUS_EGG	DOUBLE_AXE	BLUNT_BLADE	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MASK_OF_THE_ANCIENT_KING	IRON_CLAWS
RED						
