	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FOAM_FINGER	MY_FIRST_SHIELD	FINE_BRIE	PAPER_CROWN	FREE_MANS_CROWBAR
GREEN	PRETTY_SWEET_CAPE	SPARKLE_PONY_KEYCHAIN	SNAZZY_VEST	LUCKY_ORCS_FOOT	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	GENTLEMENS_CLUB	VAMPIRE_BUNNYEARS	PROTEIN_POWDER	LIFESIPPER	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
BLUE	SNAKE_OIL	MAGIC_EIGHT_BALL	BLOODY_BAT	SIDE_OF_BACON	VAMPIRE_BUNNYEARS	BUTTER_KNIFE
BLUE_1	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	YA_VAMPIRE_SERIES	FLAIL_OF_TOTAL_DEVASTATION	BLISSFUL_IGNORANCE	SOCK_FULL_O_PENNIES
BLUE_2	DIPLOMATIC_IMMUNITY	THE_COMPENSATOR	STAFF_OF_BOSS_FIGHTING	VAMPIRE_BUNNYEARS	BLISSFUL_IGNORANCE	HIPPY_GLO_STICKS
PURPLE	ENIDS_EXPENSIVE_ELIXIR	HAMMER_OF_WICKED_BEATS	LASER_POINTER	SACRED_CODEX	ARCANE_SLACKS	BUTTER_KNIFE
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	MUSSEL_MILK	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	LIFESIPPER	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	GLAIVE_OF_DISMEMBERMENT	VAMPIRE_BUNNYEARS	DIPLOMATIC_IMMUNITY	GENTLEMENS_CLUB	INTIMIDATING_BEARD
PURPLE_3	THE_POWER_OF_MEDICINE_4_ORDER	DRAGON_SCALE	THE_COMPENSATOR	BIG_STABBY_SPEAR	NECRONOMICON	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	EXTREME_FAD_DIET	POCKET_PROTECTOR	DIPLOMATIC_IMMUNITY	THE_COMPENSATOR	IMPRACTICAL_CHESTPLATE
ORANGE	RATTLING_SABRE	ANTI_MAGIC_SHIELD	WICKED_MULLET	LIGER_BALM	LIFEDRINKER	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	HELM_OF_THE_RAGING_BEAR	MONSTER_HUNTER_ARMOR	EXTREME_FAD_DIET	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	ROLL_OF_DUCT_TAPE	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	THE_HOLY_PAIL	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HELM_OF_THE_RAGING_BEAR	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	HAMMER_TIME	VOLATILE_SMOOTHIE	ORGANIC_BOOK_OF_NATURE	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	UPHOLSTERED_THRONE	HEAL_AID	BRAIN_PILLS	THE_HOLY_PAIL	IVY_LEAGUE_HAIRCUT	CHAMPIONSHIP_BELT
ORANGE_6	BRAIN_GUARD_9000	HEARTY_CHEST	NEW_KNIGHT_IN_TOWN	FOUR_D_GLASSES	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	GROUND_GEARS	DODGY_JEWELRY	PHAT_PANTS	GLORY_SEEKER	HAIR_OF_THE_DOG
ORANGE_8	FLATTERING_MIRROR	GIANTS_GROG	BELL_OF_SILENCE	BRAIN_GUARD_9000	AXE_OF_GRINDING	PHAT_PANTS
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	GOLDEN_SLINGSHOT	GROUND_GEARS	UPHOLSTERED_THRONE	NEW_KNIGHT_IN_TOWN
CYAN_1	TOME_OF_CURSED_HORTICULTURE	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BRAIN_GUARD_9000	DODGY_JEWELRY
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	TRIASSIC_TRINKET	CLOAK_OF_THE_OWL	BELL_OF_SILENCE
CYAN_3	STEAM_ENGINE	THE_SHIELD_STOPS_YOU	FAMILIAR_ENERGY_TANK	LOST_GREAVES	MAD_GODS_MUG	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
