	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	RUBBER_VEST	PAPER_CROWN	STOLEN_SNEAKERS	MY_FIRST_SHIELD
GREEN	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	FREE_MANS_CROWBAR	SNAZZY_VEST	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	VAMPIRE_BUNNYEARS	SPARKLE_PONY_KEYCHAIN	BESSIES_BANE	MUSCLE_WAX	RAW_EGG	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	THONG_OF_VITALITY	PROTEIN_POWDER	LEAD_ZEPPELIN	THE_UGLY_STICK	SOCK_FULL_O_PENNIES
BLUE_1	DEATH_METAL_BLADE	THE_COMPENSATOR	ARCANE_SLACKS	BLISSFUL_IGNORANCE	BAG_O_HAMMERS	SOCK_FULL_O_PENNIES
BLUE_2	DIRK_OF_DISEMBOWELING	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	THE_COMPENSATOR	VAMPIRE_BUNNYEARS	SOCK_FULL_O_PENNIES
PURPLE	SUPER_SPIKEY_SPEAR	THONG_OF_VITALITY	MUSCLE_WAX	HAMMER_OF_WICKED_BEATS	EXCALIBURTREYNOLDS	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	THE_COMPENSATOR	RAW_EGG	MUSSEL_MILK	LEAD_ZEPPELIN	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	GLAIVE_OF_DISMEMBERMENT	VAMPIRE_BUNNYEARS	DIPLOMATIC_IMMUNITY	GENTLEMENS_CLUB	INTIMIDATING_BEARD
PURPLE_3	BLACKSTEEL_BLADE	LICHE_FINGER	THONG_OF_VITALITY	LAVISHLY_ADORNED_RAPIER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	EXTREME_FAD_DIET	OVERPOWERING_FRAGRANCE	SWORDY_MCEPICPANTS	SUPER_SPIKEY_SPEAR	FLAIL_OF_TOTAL_DEVASTATION
ORANGE	MYSTICAL_ELVEN_JUNK	PHOTO_BOMB	PURPLE_PILLS_OF_POTENCY	LIGER_BALM	LIFEDRINKER	LAVISHLY_ADORNED_RAPIER
ORANGE_1	GLASS_CASE_OF_EMOTION	DUELING_KNIVES_OF_HACKENSLASH	BOWIE_KNIFE	EXTREME_FAD_DIET	SVENS_SWORD_OF_DOOOOOM	CHUGG_BOOTS
ORANGE_2	DIRTY_BASTARD_SWORD	ROLL_OF_DUCT_TAPE	CHAMPIONSHIP_BELT	WAR_SANDALS	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	THE_HOLY_PAIL	AXE_OF_GRINDING	BOWIE_KNIFE	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	VOLATILE_SMOOTHIE	ORGANIC_BOOK_OF_NATURE	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	LIGHTNING_GREASE	STAY_BOARD	THE_HOLY_PAIL	GLASS_CASE_OF_EMOTION	HELM_OF_SCREAMING_MANFACE
ORANGE_6	EYE_ON_THE_PRIZE	DOUBLE_BLADED_SWORD	CANNON_CANOE	FOUR_D_GLASSES	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	THE_HUSTLE	DODGY_JEWELRY	LIGHTNING_GREASE	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	LOST_GREAVES	GIANTS_GROG	BELL_OF_SILENCE	BRAIN_GUARD_9000	AMULET_OF_CONCENTRATED_AWESOME	PHAT_PANTS
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	GOLDEN_SLINGSHOT	GROUND_GEARS	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	RUBY_FLIP_FLOPS	HEART_HEALTH_CANDY	BELL_OF_SILENCE
CYAN_3	STEAM_ENGINE	THE_SHIELD_STOPS_YOU	FAMILIAR_ENERGY_TANK	BLUNT_BLADE	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4	DEDICATED_ROLLER_WARRIOR	DRAGON_SAND_BOOTS	NAVIGATION_TO_THE_PAST	GOOD_SLEEPING_BED	MASK_OF_THE_ANCIENT_KING	WILDYS_HAT
RED	DEDICATED_ROLLER_WARRIOR	FINS_OF_SEA_DRAGON	THE_SPEAR_BRINGS_VICTORY	EXPLOSIVE_CANNON	PORTABLE_NUTRITIOUS_DIET	FAMILY_TREE_OF_UMLAUT
