	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	PAPER_CROWN	ENCHANTED_ELBOW_PADS	GOBLIN_GROG
GREEN	LOAFERS_OF_ALACRITY	BLOODY_BAT	BESSIES_BANE	GOBLIN_WHACKER	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	RACING_STRIPES	LIFESIPPER	BESSIES_BANE	TEN_FOOT_POLE	ARCANE_SLACKS	STICK_ON_MOUSTACHE
BLUE	SPUD_GUN	GENTLEMENS_CLUB	BANJO_OF_DUELING	DECODER_RING	MACE_OF_FRIENDSHIP	SOCK_FULL_O_PENNIES
BLUE_1	THE_COMPENSATOR	FLAIL_OF_TOTAL_DEVASTATION	RAW_EGG	THE_MAD_GODS_TRIDENT	IMPRACTICAL_CHESTPLATE	SOCK_FULL_O_PENNIES
BLUE_2	SUPER_SPIKEY_SPEAR	KINDNESS	GOBLIN_WHACKER	ADAMANTIUM_TIARA	LIFESIPPER	PLUCKY_HEROINES_SHORTBOW
PURPLE	MJOLNIRBY	THE_COMPENSATOR	ARCANE_SLACKS	DIRK_OF_DISEMBOWELING	BLISSFUL_IGNORANCE	PLUCKY_HEROINES_SHORTBOW
PURPLE_1	LAVISHLY_ADORNED_RAPIER	DECODER_RING_2_ORDER	GOBLIN_WHACKER	HAMMER_OF_WICKED_BEATS	AND_MY_AXE	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	DECODER_RING_3_ORDER	LOAFERS_OF_ALACRITY	TOME_OF_NASTY_BEHAVIOR	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_3	CHUGG_BOOTS	SHOVEL	LIFESIPPER	MITHRIL_OREEAL	LASER_POINTER	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	SHOT_IN_THE_ARM_3_ORDER	SWORDY_MCEPICPANTS	RING_OF_THE_SQUIRREL	ROD_OF_WITTY_PARTY_BANTER	IMPRACTICAL_CHESTPLATE
ORANGE	MYSTICAL_ELVEN_JUNK	WAR_SANDALS	READIN_RAIN_BOW	DEAD_EYE	ROD_OF_WITTY_PARTY_BANTER	THE_POWER_OF_MEDICINE_4_ORDER
ORANGE_1	GLASS_CASE_OF_EMOTION	AXE_OF_GRATUITOUS_GUITAR_SOLOS	DUELING_KNIVES_OF_HACKENSLASH	HIGH_TEA	CHUGG_BOOTS	DECODER_RING_3_ORDER
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	UNTESTED_JETPACK	CHAMPIONSHIP_BELT	WAR_SANDALS	CHUGG_BOOTS	THE_POWER_OF_MEDICINE_4_ORDER
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	AMULET_OF_CONCENTRATED_AWESOME	HEALTHY_DOSE_OF_SKEPTICISM	YODELING_SWORD	READIN_RAIN_BOW
ORANGE_4	ORBITAL_KITTY	FOUR_D_GLASSES	ORGANIC_BOOK_OF_NATURE	UNTESTED_JETPACK	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	STAY_BOARD	MACGUFFIN_FRAGMENT_45	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	MIND_MAP	FOUR_D_GLASSES	TAROT_DECK_OF_HYPERBOLE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	DODGY_JEWELRY	BOOM_BOX	CHAMPIONSHIP_BELT	LITTLE_PRICKS
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	BELL_OF_SILENCE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LIGHTNING_GREASE
CYAN	FEATHER_WEIGHT_PAULDRONS	RUBY_FLIP_FLOPS	MAD_GODS_MUG	MUNDANE_MUSHROOMS	SHOES_OF_THE_MAD_GOD	MIND_MAP
CYAN_1	FEATHER_WEIGHT_FOIL	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	AGED_DRAGON_MILK	EYE_ON_THE_PRIZE	GREAT_HORNED_HORN
CYAN_2	DRAGONS_BLADE	MAI_TAI_OF_IMMUNITY	PHOENIX_TALISMAN	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	BELL_OF_SILENCE
CYAN_3	ADVENTURERS_RIDES	MAGICAL_PEST_MAST	DEVILS_POT	FLATTERING_MIRROR	MAD_GODS_MUG	CLOAK_OF_THE_OWL
CYAN_4		NAVIGATION_TO_THE_PAST	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MAGICAL_CREAM	WILDYS_HAT
RED						
