	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	RUBBER_VEST	FINE_BRIE	PAPER_CROWN	BIT_O_NIP	MY_FIRST_SHIELD
GREEN	SHINY_BOTTLECAP	SNAZZY_VEST	BLOODY_BAT	CHUNKY_FEMUR	NONSTICK_SHIELD	STICK_ON_MOUSTACHE
GREEN_1	THE_POWER_OF_MEDICINE	SACRED_CODEX	SPARKLE_PONY_KEYCHAIN	THONG_OF_VITALITY	BLISSFUL_IGNORANCE	STICK_ON_MOUSTACHE
BLUE	ROD_OF_TASING	SACRED_CODEX	NONSTICK_SHIELD	STAFF_OF_BOSS_FIGHTING	HEMP_BRACELET	STICK_ON_MOUSTACHE
BLUE_1	THE_POWER_OF_MEDICINE_2_ORDER	NECRONOMICON	CHUNKY_FEMUR	ORB_OF_EVERLASTING_FLAVOR	TEN_FOOT_POLE	BUTTER_KNIFE
BLUE_2	THE_1_RING	THE_COMPENSATOR	CHUNKY_FEMUR	LASER_POINTER	BLISSFUL_IGNORANCE	BUTTER_KNIFE
PURPLE	THE_POWER_OF_MEDICINE_3_ORDER	LASER_POINTER_2_ORDER	HEMP_BRACELET	DIPLOMATIC_IMMUNITY	RAW_EGG	BUTTER_KNIFE
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	FRAMED_DIPLOMA	IMPRACTICAL_CHESTPLATE	POCKET_PROTECTOR	WAND_OF_GOLD_SPARKLES	INTIMIDATING_BEARD
PURPLE_2	THE_POWER_OF_MEDICINE_4_ORDER	SACRED_CODEX	BLISSFUL_IGNORANCE	LASER_POINTER_3_ORDER	MUSCLE_WAX	INTIMIDATING_BEARD
PURPLE_3	BIG_STABBY_SPEAR	LIGER_BALM	THONG_OF_VITALITY	LASER_POINTER_4_ORDER	ROD_OF_TASING	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	OVERPOWERING_FRAGRANCE	SHOT_IN_THE_ARM	HIGH_TEA	DIPLOMATIC_IMMUNITY	ROD_OF_BADASSERY
ORANGE	WIZARDY_FOR_IDIOTS	WAR_SANDALS	READIN_RAIN_BOW	JAR_OF_KITTEN_TEAR	ROD_OF_WITTY_PARTY_BANTER	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	UNICORN_PUKE	LASER_POINTER_3_ORDER	DEERSTALKER_HAT	HIGH_TEA	HEALTHY_DOSE_OF_SKEPTICISM	CHUGG_BOOTS
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	ANTI_MAGIC_SHIELD	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HEALTHY_DOSE_OF_SKEPTICISM	GIRDLE_OF_VICTORY	READIN_RAIN_BOW
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	HAIR_OF_THE_DOG	ROLL_OF_DUCT_TAPE	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	TUNNEL_VISION	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	NEW_KNIGHT_IN_TOWN	FOUR_D_GLASSES	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	HEART_HEALTH_CANDY	GROUND_GEARS	GREAT_HORNED_HORN	HEAL_AID	EYE_OF_THE_BEHOLDER	HAIR_OF_THE_DOG
ORANGE_8	FLATTERING_MIRROR	GIANTS_GROG	AUTO_FLUTE	BRAIN_GUARD_9000	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	MAD_GODS_MUG	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	NEW_KNIGHT_IN_TOWN
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	DRAGON_BLANKIE	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	MAI_TAI_OF_IMMUNITY	BOOK_OF_IRMAC	TRIASSIC_TRINKET	HEART_HEALTH_CANDY	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MAGICAL_PEST_MAST	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	MAD_GODS_MUG	CLOAK_OF_THE_OWL
CYAN_4	DEDICATED_SATYR	PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	MASK_OF_THE_ANCIENT_KING	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED	DEDICATED_SATYR	FEATHER_OF_PHOENIX	GOLD_RUSH	WARRIORS_HELMET	MAGATAMA	GOURD
