	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FOAM_FINGER	FREE_MANS_CROWBAR	PAPER_CROWN	FOAM_FINGER	MY_FIRST_SHIELD
GREEN	BLOODY_BAT	PROTEIN_POWDER	SNAZZY_VEST	BLOODY_BAT	ENCHANTED_ELBOW_PADS	STICK_ON_MOUSTACHE
GREEN_1	BAG_O_HAMMERS	PENETRABLE_ARMOR	LOAFERS_OF_ALACRITY	THONG_OF_VITALITY	PROTEIN_POWDER	STICK_ON_MOUSTACHE
BLUE	AXES_OF_DUAL_WIELDING	PLASTIC_VAMPIRE_TEETH	NONSTICK_SHIELD	MAGIC_EIGHT_BALL	YA_VAMPIRE_SERIES	DIRECTORS_CUT
BLUE_1	LEAD_ZEPPELIN	VAMPIRE_BUNNYEARS	PROTEIN_POWDER	ROBE_OF_SHARP_COMEBACKS	BLISSFUL_IGNORANCE	SOCK_FULL_O_PENNIES
BLUE_2	DIPLOMATIC_IMMUNITY	AND_MY_AXE	BLOODY_BAT	KINDNESS	BAG_O_HAMMERS	DIRECTORS_CUT
PURPLE	MJOLNIRBY	THE_MAD_GODS_TRIDENT	BLOODY_BAT	AXES_OF_DUAL_WIELDING	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	MACE_OF_FRIENDSHIP	THONG_OF_VITALITY	HEAD_BANGER	GENTLEMENS_CLUB	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	THE_COMPENSATOR	EXCALIBURTREYNOLDS	SHOVEL	EXCALIBURTREYNOLDS	INTIMIDATING_BEARD
PURPLE_3	DRAGON_SCALE	MUSSEL_MILK	FLAIL_OF_TOTAL_DEVASTATION	SUPER_SPIKEY_SPEAR	SHOVEL	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	EXTREME_FAD_DIET	OVERPOWERING_FRAGRANCE	SWORDY_MCEPICPANTS	SUPER_SPIKEY_SPEAR	MUSSEL_MILK
ORANGE	MYSTICAL_ELVEN_JUNK	PHOTO_BOMB	PURPLE_PILLS_OF_POTENCY	LIGER_BALM	LIFEDRINKER	LAVISHLY_ADORNED_RAPIER
ORANGE_1	GLASS_CASE_OF_EMOTION	BOWIE_KNIFE	EXTREME_FAD_DIET	MONSTER_HUNTER_ARMOR	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	ROLL_OF_DUCT_TAPE	HELM_OF_SCREAMING_MANFACE	ANTI_MAGIC_SHIELD	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	AXE_OF_GRINDING	BOWIE_KNIFE	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	ORGANIC_BOOK_OF_NATURE	SWEATBAND_OF_TRAINING_MONTAGES	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	FLAMEY_POOFS	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	NEW_KNIGHT_IN_TOWN	VOLATILE_SMOOTHIE	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	CREATINE_CACTUS	FRIENDZONITE	HEAL_AID	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	CROWNING_ACHIEVEMENT	BRAIN_GUARD_9000	AXE_OF_GRINDING	PHAT_PANTS
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	POISONED_DAGGER	BEARLY_THERE_BOOTS	ENGAGEMENT_KNUCKLES
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	MYSTERIOUS_EGG	DOUBLE_AXE	BLUNT_BLADE	CRUDE_SNIPPERS	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	NAVIGATION_TO_THE_PAST	SUNBLOCK_GOGGLES	MASK_OF_THE_ANCIENT_KING	MAGICAL_WATER_BOTTLE
RED						
