	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	RUBBER_VEST	PAPER_CROWN	STOLEN_SNEAKERS	MY_FIRST_SHIELD
GREEN	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	FREE_MANS_CROWBAR	SNAZZY_VEST	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	VAMPIRE_BUNNYEARS	SPARKLE_PONY_KEYCHAIN	BESSIES_BANE	MUSCLE_WAX	RAW_EGG	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	THONG_OF_VITALITY	PROTEIN_POWDER	LEAD_ZEPPELIN	THE_UGLY_STICK	SOCK_FULL_O_PENNIES
BLUE_1	DEATH_METAL_BLADE	THE_COMPENSATOR	ARCANE_SLACKS	BLISSFUL_IGNORANCE	BAG_O_HAMMERS	SOCK_FULL_O_PENNIES
BLUE_2	DIRK_OF_DISEMBOWELING	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	THE_COMPENSATOR	VAMPIRE_BUNNYEARS	SOCK_FULL_O_PENNIES
PURPLE	SUPER_SPIKEY_SPEAR	THONG_OF_VITALITY	MUSCLE_WAX	HAMMER_OF_WICKED_BEATS	EXCALIBURTREYNOLDS	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	THE_COMPENSATOR	RAW_EGG	MUSSEL_MILK	LEAD_ZEPPELIN	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	GLAIVE_OF_DISMEMBERMENT	VAMPIRE_BUNNYEARS	DIPLOMATIC_IMMUNITY	GENTLEMENS_CLUB	INTIMIDATING_BEARD
PURPLE_3	BLACKSTEEL_BLADE	LICHE_FINGER	THONG_OF_VITALITY	LAVISHLY_ADORNED_RAPIER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	PETER_PIPERS_PEPPER_SPRAY	SHOT_IN_THE_ARM_3_ORDER	MJOLNIRBY	FRAMED_DIPLOMA	SHOVEL
ORANGE	RATTLING_SABRE	WAR_SANDALS	READIN_RAIN_BOW	DEAD_EYE	BIG_STABBY_SPEAR	DECODER_RING_3_ORDER
ORANGE_1	GLASS_CASE_OF_EMOTION	AXE_OF_GRATUITOUS_GUITAR_SOLOS	DUELING_KNIVES_OF_HACKENSLASH	PETER_PIPERS_PEPPER_SPRAY	CHUGG_BOOTS	DECODER_RING_3_ORDER
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	UNTESTED_JETPACK	CHAMPIONSHIP_BELT	WAR_SANDALS	CHUGG_BOOTS	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEALTHY_DOSE_OF_SKEPTICISM	YODELING_SWORD	READIN_RAIN_BOW
ORANGE_4	ORBITAL_KITTY	LITTLE_PRICKS	POLITICAL_PLATFORM_SHOES	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	DIRTY_BASTARD_SWORD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	ENGAGEMENT_KNUCKLES	BOOM_BOX	CHAMPIONSHIP_BELT	LITTLE_PRICKS
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LIGHTNING_GREASE
CYAN	FEATHER_WEIGHT_PAULDRONS	RUBY_FLIP_FLOPS	CRUDE_SNIPPERS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	CANNON_CANOE
CYAN_1	SOUL_FOR_POWER_VOLUME_45	BUNNY_BLADE	RING_OF_FIRE	RINGS_OF_A_FEATHER	EYE_ON_THE_PRIZE	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	SWORD_OF_DESPAIR	PHOENIX_TALISMAN	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	MYSTERIOUS_EGG	DEVILS_POT	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	SAND_STORM	WILDYS_HAT
RED						
