	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	FREE_MANS_CROWBAR	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	PAPER_CROWN
GREEN	GOBLIN_WHACKER	LOAFERS_OF_ALACRITY	SWASH_BUCKLER	GOBLIN_WHACKER	SNAZZY_VEST	STICK_ON_MOUSTACHE
GREEN_1	TEN_FOOT_POLE	PRETTY_SWEET_CAPE	CHUNKY_FEMUR	SIDE_OF_BACON	LUCKY_ORCS_FOOT	CHAPS_OF_ENDURANCE
BLUE	AXES_OF_DUAL_WIELDING	HEMP_BRACELET	CHUNKY_FEMUR	NECRONOMICON	ARTIFACT_OF_UNIMAGINABLE_POWER	INTIMIDATING_BEARD
BLUE_1	THE_POWER_OF_MEDICINE_2_ORDER	TEN_FOOT_POLE	MELTY_CHOCOLATE_BAR	NECRONOMICON	VAMPIRE_BUNNYEARS	INTIMIDATING_BEARD
BLUE_2	SUPER_SPIKEY_SPEAR	ROD_OF_TASING	PENETRABLE_ARMOR	THE_COMPENSATOR	MUSCLE_WAX	SOCK_FULL_O_PENNIES
PURPLE	SUPER_SPIKEY_SPEAR	BLISSFUL_IGNORANCE	IMPRACTICAL_CHESTPLATE	DIPLOMATIC_IMMUNITY	THONG_OF_VITALITY	INTIMIDATING_BEARD
PURPLE_1	LAVISHLY_ADORNED_RAPIER	DEATH_METAL_BLADE	TEN_FOOT_POLE	HEAD_BANGER	FLAIL_OF_TOTAL_DEVASTATION	INTIMIDATING_BEARD
PURPLE_2	SANDWICH_OF_UNSURPASSED_MEATINESS	ADAMANTIUM_TIARA	IMPRACTICAL_CHESTPLATE	SVENS_SWORD_OF_DOOOOOM	AXES_OF_DUAL_WIELDING	INTIMIDATING_BEARD
PURPLE_3	DRAGON_SCALE	TOME_OF_NASTY_BEHAVIOR	THE_POWER_OF_MEDICINE_4_ORDER	BIG_STABBY_SPEAR	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	EXTREME_FAD_DIET	OVERPOWERING_FRAGRANCE	ENIDS_EXPENSIVE_ELIXIR	SUPER_SPIKEY_SPEAR	MUSSEL_MILK
ORANGE	JAR_OF_KITTEN_TEAR	PHOTO_BOMB	WICKED_MULLET	LOST_DISK_OF_POWER	ROD_OF_WITTY_PARTY_BANTER	MITHRIL_OREEAL
ORANGE_1	IVY_LEAGUE_HAIRCUT	AXE_OF_GRATUITOUS_GUITAR_SOLOS	DEERSTALKER_HAT	PETER_PIPERS_PEPPER_SPRAY	DRAGON_SCALE	MITHRIL_OREEAL
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	DRAGONS_BALLZ	PHOTO_BOMB	CHUGG_BOOTS	PURIFYING_TUNING_FORK
ORANGE_3	GLORY_SEEKER	MACGUFFIN_FRAGMENT_45	AMULET_OF_CONCENTRATED_AWESOME	AXE_OF_GRATUITOUS_GUITAR_SOLOS	YODELING_SWORD	WICKED_MULLET
ORANGE_4	SICK_MULLET	FOUR_D_GLASSES	HAIR_OF_THE_DOG	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	SHOES_OF_THE_MAD_GOD	HEAL_AID	TUNNEL_VISION	THE_HOLY_PAIL	GLASS_CASE_OF_EMOTION	HELM_OF_SCREAMING_MANFACE
ORANGE_6	EYE_ON_THE_PRIZE	HEARTY_CHEST	TIME_SAVER	FOUR_D_GLASSES	TAROT_DECK_OF_HYPERBOLE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	DODGY_JEWELRY	PHAT_PANTS	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	LOST_GREAVES	GIANTS_GROG	ILLUSORY_HURDLE	BRAIN_GUARD_9000	AXE_OF_GRINDING	PHAT_PANTS
CYAN	FEATHER_WEIGHT_PAULDRONS	RUBY_FLIP_FLOPS	MAD_GODS_MUG	GROUND_GEARS	SHOES_OF_THE_MAD_GOD	CANNON_CANOE
CYAN_1	SOUL_FOR_POWER_VOLUME_45	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	EYE_ON_THE_PRIZE	FRIENDZONITE
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	STEAM_ENGINE	THE_SHIELD_STOPS_YOU	DEVILS_POT	BLUNT_BLADE	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		NAVIGATION_TO_THE_PAST	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MASK_OF_THE_ANCIENT_KING	MAGICAL_WATER_BOTTLE
RED						
