	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	PAPER_CROWN	ENCHANTED_ELBOW_PADS	FOAM_FINGER	BIT_O_NIP	GOBLIN_GROG
GREEN	PRETTY_SWEET_CAPE	SPARKLE_PONY_KEYCHAIN	SNAZZY_VEST	LUCKY_ORCS_FOOT	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	THE_POWER_OF_MEDICINE	SIDE_OF_BACON	SPARKLE_PONY_KEYCHAIN	SNAZZY_VEST	BLOODY_BAT	STICK_ON_MOUSTACHE
BLUE	ROD_OF_TASING	BLISSFUL_IGNORANCE	SIDE_OF_BACON	SPARKLE_PONY_KEYCHAIN	BLOODY_BAT	HIPPY_GLO_STICKS
BLUE_1	THE_POWER_OF_MEDICINE_2_ORDER	HEMP_BRACELET	TOME_OF_FORBIDDEN_TRIVIA	TEN_FOOT_POLE	VAMPIRE_BUNNYEARS	HIPPY_GLO_STICKS
BLUE_2	THE_1_RING	LASER_POINTER	NECRONOMICON	EXCALIBURTREYNOLDS	CHUNKY_FEMUR	HIPPY_GLO_STICKS
PURPLE	ENIDS_EXPENSIVE_ELIXIR	FRAMED_DIPLOMA	MUSCLE_WAX	WAND_OF_GOLD_SPARKLES	BIT_O_NIP	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	THE_POWER_OF_MEDICINE_3_ORDER	SACRED_CODEX	RAW_EGG	LUCKY_ORCS_FOOT	INTIMIDATING_BEARD
PURPLE_2	SANDWICH_OF_UNSURPASSED_MEATINESS	LASER_POINTER_3_ORDER	TOME_OF_FORBIDDEN_TRIVIA	TEN_FOOT_POLE	CHUNKY_FEMUR	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	THE_POWER_OF_MEDICINE_4_ORDER	ROD_OF_TASING	SHOT_IN_THE_ARM	SIDE_OF_BACON	INTIMIDATING_BEARD
PURPLE_4	PURIFYING_TUNING_FORK	HIGH_TEA	GIRDLE_OF_VICTORY	POCKET_PROTECTOR	ROD_OF_WITTY_PARTY_BANTER	TOME_OF_FORBIDDEN_TRIVIA
ORANGE	ANTI_MAGIC_SHIELD	JAR_OF_KITTEN_TEAR	READIN_RAIN_BOW	LOST_DISK_OF_POWER	BIG_STABBY_SPEAR	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	AXE_OF_GRATUITOUS_GUITAR_SOLOS	IVY_LEAGUE_HAIRCUT	DEERSTALKER_HAT	HIGH_TEA	LASER_POINTER_3_ORDER	CHUGG_BOOTS
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	READIN_RAIN_BOW
ORANGE_4	ORBITAL_KITTY	FOUR_D_GLASSES	GLASS_CANNON	ROLL_OF_DUCT_TAPE	JAR_OF_KITTEN_TEAR	MONSTER_HUNTER_ARMOR
ORANGE_5	UPHOLSTERED_THRONE	HEAL_AID	TUNNEL_VISION	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	NEW_KNIGHT_IN_TOWN	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	HEART_HEALTH_CANDY	GROUND_GEARS	GREAT_HORNED_HORN	HEAL_AID	EYE_OF_THE_BEHOLDER	HAIR_OF_THE_DOG
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	MAD_GODS_MUG	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	NEW_KNIGHT_IN_TOWN
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	DRAGON_BLANKIE	AGED_DRAGON_MILK	BEARLY_THERE_BOOTS	FRIENDZONITE
CYAN_2	HELMET_OF_FORESIGHT	MAI_TAI_OF_IMMUNITY	BOOK_OF_IRMAC	TRIASSIC_TRINKET	HEART_HEALTH_CANDY	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MAGICAL_PEST_MAST	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	MAD_GODS_MUG	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MASK_OF_THE_ANCIENT_KING	MAGICAL_WATER_BOTTLE
RED						
