	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	PAPER_CROWN	LOADED_DIE	LOADED_DIE	ENCHANTED_ELBOW_PADS	GOBLIN_GROG
GREEN	SPARKLE_PONY_KEYCHAIN	SNAZZY_VEST	CHUNKY_FEMUR	CHUNKY_FEMUR	FINE_BRIE	STICK_ON_MOUSTACHE
GREEN_1	GENTLEMENS_CLUB	THE_POWER_OF_MEDICINE	WAND_OF_GOLD_SPARKLES	SMARTY_PANTS	MELTY_CHOCOLATE_BAR	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	GENTLEMENS_CLUB	SACRED_CODEX	SIDE_OF_BACON	CHUNKY_FEMUR	BUTTER_KNIFE
BLUE_1	THE_COMPENSATOR	NECRONOMICON	KING_JEFFS_CROSSBOW	LASER_POINTER	SMARTY_PANTS	BUTTER_KNIFE
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	ROD_OF_TASING	THINKING_CAP	STAFF_OF_BOSS_FIGHTING	HEMP_BRACELET	BUTTER_KNIFE
PURPLE	THE_1_RING	HAMMER_OF_WICKED_BEATS	LASER_POINTER	SACRED_CODEX	CHUNKY_FEMUR	BUTTER_KNIFE
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	ADAMANTIUM_TIARA	NECRONOMICON	SMARTY_PANTS	INTIMIDATING_BEARD
PURPLE_2	LASER_POINTER_3_ORDER	TOME_OF_NASTY_BEHAVIOR	TOME_OF_FORBIDDEN_TRIVIA	ROD_OF_WITTY_PARTY_BANTER	SACRED_CODEX	INTIMIDATING_BEARD
PURPLE_3	LASER_POINTER_4_ORDER	WIZARDY_FOR_IDIOTS	MITHRIL_OREEAL	SHOT_IN_THE_ARM	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	PURIFYING_TUNING_FORK	SHOT_IN_THE_ARM	THE_1_RING
ORANGE	ANTI_MAGIC_SHIELD	JAR_OF_KITTEN_TEAR	WICKED_MULLET	WIZARDY_FOR_IDIOTS	ROD_OF_WITTY_PARTY_BANTER	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	GLASS_CASE_OF_EMOTION	DEERSTALKER_HAT	AXE_OF_GRATUITOUS_GUITAR_SOLOS	RING_OF_THE_SQUIRREL	BLACKSTEEL_BLADE	MITHRIL_OREEAL
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	BRAIN_PILLS	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	DODGY_JEWELRY	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	CAT_O_NINE_TAILS	GROUND_GEARS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	RINGS_OF_A_FEATHER	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CAT_O_NINE_TAILS	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	BALANCE_OF_LIFE	MAGICAL_CREAM	DANCERS_BRA	PRICKLING_WHIP
RED						
