	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FOAM_FINGER	ENCHANTED_ELBOW_PADS	PAPER_CROWN	FOAM_FINGER	GOBLIN_GROG
GREEN	LOAFERS_OF_ALACRITY	GOBLIN_WHACKER	ENCHANTED_ELBOW_PADS	SNAZZY_VEST	ENCHANTED_ELBOW_PADS	STICK_ON_MOUSTACHE
GREEN_1	VAMPIRE_BUNNYEARS	SPARKLE_PONY_KEYCHAIN	BESSIES_BANE	MUSCLE_WAX	RAW_EGG	STICK_ON_MOUSTACHE
BLUE	AXES_OF_DUAL_WIELDING	VAMPIRE_BUNNYEARS	FREE_MANS_CROWBAR	SIDE_OF_BACON	LOAFERS_OF_ALACRITY	PLUCKY_HEROINES_SHORTBOW
BLUE_1	MUSSEL_MILK	SNAZZY_VEST	THONG_OF_VITALITY	THE_MAD_GODS_TRIDENT	TEN_FOOT_POLE	DIRECTORS_CUT
BLUE_2	SUPER_SPIKEY_SPEAR	ROD_OF_TASING	PENETRABLE_ARMOR	THE_COMPENSATOR	MUSCLE_WAX	DIRECTORS_CUT
PURPLE	MJOLNIRBY	LASER_POINTER	LIFESIPPER	BOOTS_MADE_FOR_WALKIN	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	LEAD_ZEPPELIN	GENTLEMENS_CLUB	SHOVEL	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	ADAMANTIUM_TIARA	THONG_OF_VITALITY	DIRK_OF_DISEMBOWELING	DEATH_METAL_BLADE	INTIMIDATING_BEARD
PURPLE_3	LIFEDRINKER	BLACKSTEEL_BLADE	SIDE_OF_BACON	MOTIVATIONAL_CASSETTE	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	PETER_PIPERS_PEPPER_SPRAY	MJOLNIRBY	HEAD_BANGER	VORPAL_BOOMERANG	FLAIL_OF_TOTAL_DEVASTATION
ORANGE	RATTLING_SABRE	ANTI_MAGIC_SHIELD	PURPLE_PILLS_OF_POTENCY	LOST_DISK_OF_POWER	GRIEVOUS_BODILY_HARM	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	UNICORN_PUKE	BOWIE_KNIFE	MONSTER_HUNTER_ARMOR	EXTREME_FAD_DIET	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	SWEATBAND_OF_TRAINING_MONTAGES	CHAMPIONSHIP_BELT	ANTI_MAGIC_SHIELD	DRAGON_SCALE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ANCIENT_TOME_OF_OCCULT_NONSENSE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	BOWIE_KNIFE	YODELING_SWORD	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	FOUR_D_GLASSES	GLASS_CANNON	SWEATBAND_OF_TRAINING_MONTAGES	JAR_OF_KITTEN_TEAR	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	BOOM_BOX	PHAT_PANTS	FLAMEY_POOFS	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	MIND_MAP	VOLATILE_SMOOTHIE	TAROT_DECK_OF_HYPERBOLE	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	FLOPPIN_FLIP_FLOPS	CREATINE_CACTUS	GREAT_HORNED_HORN	PHAT_PANTS	EYE_OF_THE_BEHOLDER	HAIR_OF_THE_DOG
ORANGE_8	BLUNT_BLADE	AGED_DRAGON_MILK	BELL_OF_SILENCE	STAY_BOARD	AXE_OF_GRINDING	LOST_CONCEPT_ART
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	CAT_O_NINE_TAILS	CREATINE_CACTUS	BOOM_BOX	CANNON_CANOE
CYAN_1	ESCUTCHEON_OF_EYES	OGRES_BATTERING_RAM	NAUGHTY_TAPESTRY	AGED_DRAGON_MILK	BEARLY_THERE_BOOTS	DODGY_JEWELRY
CYAN_2	GREAVES_OF_PLEIAS	RING_OF_TEMPTATION	PHOENIX_TALISMAN	DENSE_CAKE_OF_HATE	FLOPPIN_FLIP_FLOPS	BELL_OF_SILENCE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	DOUBLE_AXE	LOST_GREAVES	GOLDEN_SLINGSHOT	FLOPPIN_FLIP_FLOPS
CYAN_4		DRAGON_SAND_BOOTS	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	DANCERS_BRA	PRICKLING_WHIP
RED						
