	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	FREE_MANS_CROWBAR	PAPER_CROWN	MY_FIRST_SHIELD	ENCHANTED_ELBOW_PADS
GREEN	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	FREE_MANS_CROWBAR	SNAZZY_VEST	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	TEN_FOOT_POLE	GOBLIN_WHACKER	FREE_MANS_CROWBAR	EXCALIBURTREYNOLDS	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	THONG_OF_VITALITY	PROTEIN_POWDER	LEAD_ZEPPELIN	THE_UGLY_STICK	SOCK_FULL_O_PENNIES
BLUE_1	MUSSEL_MILK	THONG_OF_VITALITY	FREE_MANS_CROWBAR	GENTLEMENS_CLUB	BLISSFUL_IGNORANCE	PLUCKY_HEROINES_SHORTBOW
BLUE_2	DIRK_OF_DISEMBOWELING	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	THE_COMPENSATOR	VAMPIRE_BUNNYEARS	SOCK_FULL_O_PENNIES
PURPLE	SHOVEL	SPUD_GUN	LIFESIPPER	MUSSEL_MILK	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	THE_COMPENSATOR	RAW_EGG	MUSSEL_MILK	LEAD_ZEPPELIN	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	ADAMANTIUM_TIARA	THONG_OF_VITALITY	DIRK_OF_DISEMBOWELING	DEATH_METAL_BLADE	INTIMIDATING_BEARD
PURPLE_3	BLACKSTEEL_BLADE	LICHE_FINGER	THONG_OF_VITALITY	LAVISHLY_ADORNED_RAPIER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	EXTREME_FAD_DIET	SHOT_IN_THE_ARM_3_ORDER	POCKET_PROTECTOR	SHOVEL	ENIDS_EXPENSIVE_ELIXIR
ORANGE	MYSTICAL_ELVEN_JUNK	PHOTO_BOMB	READIN_RAIN_BOW	HAROLDS_HOMEMADE_HALBERD	LIFEDRINKER	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	GLASS_CASE_OF_EMOTION	HELM_OF_THE_RAGING_BEAR	DUELING_KNIVES_OF_HACKENSLASH	EXTREME_FAD_DIET	BLACKSTEEL_BLADE	DECODER_RING_3_ORDER
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	SWEATBAND_OF_TRAINING_MONTAGES	CHAMPIONSHIP_BELT	SELF_PRESERVER	DRAGON_SCALE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	READIN_RAIN_BOW
ORANGE_4	HAMMER_TIME	FOUR_D_GLASSES	ORGANIC_BOOK_OF_NATURE	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	STAY_BOARD	ANCIENT_TOME_OF_OCCULT_NONSENSE	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	DODGY_JEWELRY	LIGHTNING_GREASE	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	BRAIN_GUARD_9000	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LIGHTNING_GREASE
CYAN	FEATHER_WEIGHT_PAULDRONS	TRIASSIC_TRINKET	GOLDEN_SLINGSHOT	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	CANNON_CANOE
CYAN_1	SOUL_FOR_POWER_VOLUME_45	BUNNY_BLADE	RING_OF_FIRE	RINGS_OF_A_FEATHER	EYE_ON_THE_PRIZE	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	MAI_TAI_OF_IMMUNITY	PHOENIX_TALISMAN	TRIASSIC_TRINKET	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CAT_O_NINE_TAILS	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	MAGICAL_CREAM	PRICKLING_WHIP
RED						
