	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	RUBBER_VEST	STOLEN_SNEAKERS	BIT_O_NIP	PAPER_CROWN	STOLEN_SNEAKERS
GREEN	LOAFERS_OF_ALACRITY	GOBLIN_WHACKER	GOBLIN_GROG	SNAZZY_VEST	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	GENTLEMENS_CLUB	SPARKLE_PONY_KEYCHAIN	GOBLIN_WHACKER	THONG_OF_VITALITY	YA_VAMPIRE_SERIES	STICK_ON_MOUSTACHE
BLUE	THE_MAD_GODS_TRIDENT	SPUD_GUN	ARCANE_SLACKS	MUSCLE_WAX	SIDE_OF_BACON	PLUCKY_HEROINES_SHORTBOW
BLUE_1	MACE_OF_FRIENDSHIP	FLAIL_OF_TOTAL_DEVASTATION	GOBLIN_WHACKER	THE_COMPENSATOR	LOAFERS_OF_ALACRITY	PLUCKY_HEROINES_SHORTBOW
BLUE_2	DIRK_OF_DISEMBOWELING	ORB_OF_EVERLASTING_FLAVOR	PENETRABLE_ARMOR	SUPER_SPIKEY_SPEAR	BLISSFUL_IGNORANCE	SOCK_FULL_O_PENNIES
PURPLE	DIPLOMATIC_IMMUNITY	AXES_OF_DUAL_WIELDING	BANJO_OF_DUELING	BOOTS_MADE_FOR_WALKIN	EXCALIBURTREYNOLDS	SOCK_FULL_O_PENNIES
PURPLE_1	LAVISHLY_ADORNED_RAPIER	MACE_OF_FRIENDSHIP	LIFESIPPER	SHOVEL	PENETRABLE_ARMOR	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	AXES_OF_DUAL_WIELDING	BANJO_OF_DUELING	BIG_STABBY_SPEAR	THE_MAD_GODS_TRIDENT	INTIMIDATING_BEARD
PURPLE_3	GRIEVOUS_BODILY_HARM	CHUGG_BOOTS	THE_COMPENSATOR	SHOT_IN_THE_ARM_2_ORDER	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	PETER_PIPERS_PEPPER_SPRAY	HEAD_BANGER	SHOT_IN_THE_ARM_3_ORDER	SHOVEL	FLAIL_OF_TOTAL_DEVASTATION
ORANGE	JAR_OF_KITTEN_TEAR	ANTI_MAGIC_SHIELD	WICKED_MULLET	DEAD_EYE	LIFEDRINKER	DECODER_RING_2_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	BOWIE_KNIFE	PETER_PIPERS_PEPPER_SPRAY	DUELING_KNIVES_OF_HACKENSLASH	LASER_POINTER_3_ORDER	CHUGG_BOOTS
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	UNTESTED_JETPACK	DRAGONS_BALLZ	WAR_SANDALS	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	MACGUFFIN_FRAGMENT_45	AXE_OF_GRINDING	BOWIE_KNIFE	YODELING_SWORD	WICKED_MULLET
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	ORGANIC_BOOK_OF_NATURE	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	FLAMEY_POOFS	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	HEARTY_CHEST	TIME_SAVER	LITTLE_PRICKS	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	FRIENDZONITE	LIGHTNING_GREASE	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	STAY_BOARD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LIGHTNING_GREASE
CYAN	FEATHER_WEIGHT_PAULDRONS	RUBY_FLIP_FLOPS	CRUDE_SNIPPERS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	CANNON_CANOE
CYAN_1	SOUL_FOR_POWER_VOLUME_45	BUNNY_BLADE	RING_OF_FIRE	RINGS_OF_A_FEATHER	EYE_ON_THE_PRIZE	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	SWORD_OF_DESPAIR	PHOENIX_TALISMAN	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	MAGICAL_PEST_MAST	DRAGONS_POCKET_WATCH	LOST_GREAVES	CRUDE_SNIPPERS	FLOPPIN_FLIP_FLOPS
CYAN_4		DRAGON_SAND_BOOTS	NAVIGATION_TO_THE_PAST	GOOD_SLEEPING_BED	SUNBLOCK_GOGGLES	WILDYS_HAT
RED						
