	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS
GREEN	RAW_EGG	GOBLIN_WHACKER	LOAFERS_OF_ALACRITY	MY_FIRST_SHIELD	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	MACE_OF_FRIENDSHIP	SIDE_OF_BACON	BESSIES_BANE	THONG_OF_VITALITY	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	AND_MY_AXE	BESSIES_BANE	NECRONOMICON	BLISSFUL_IGNORANCE	SOCK_FULL_O_PENNIES
BLUE_1	THE_MAD_GODS_TRIDENT	RACING_STRIPES	PENETRABLE_ARMOR	THE_COMPENSATOR	NONSTICK_SHIELD	SOCK_FULL_O_PENNIES
BLUE_2	ADAMANTIUM_TIARA	ROD_OF_TASING	GLOVES_OF_CRIT	HEAD_BANGER	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	SHOVEL	AXES_OF_DUAL_WIELDING	LOAFERS_OF_ALACRITY	SUPER_SPIKEY_SPEAR	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_1	HAROLDS_HOMEMADE_HALBERD	THE_UGLY_STICK	GOBLIN_WHACKER	DIPLOMATIC_IMMUNITY	THONG_OF_VITALITY	INTIMIDATING_BEARD
PURPLE_2	BIG_STABBY_SPEAR	HAMMER_OF_WICKED_BEATS	GOBLIN_WHACKER	GRIEVOUS_BODILY_HARM	BANJO_OF_DUELING	INTIMIDATING_BEARD
PURPLE_3	LAVISHLY_ADORNED_RAPIER	SHOVEL	THONG_OF_VITALITY	WIZARDY_FOR_IDIOTS	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	PETER_PIPERS_PEPPER_SPRAY	MJOLNIRBY	PURIFYING_TUNING_FORK	THE_COMPENSATOR	IMPRACTICAL_CHESTPLATE
ORANGE	RATTLING_SABRE	WAR_SANDALS	READIN_RAIN_BOW	DEAD_EYE	GRIEVOUS_BODILY_HARM	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	GLASS_CASE_OF_EMOTION	BOWIE_KNIFE	DUELING_KNIVES_OF_HACKENSLASH	PETER_PIPERS_PEPPER_SPRAY	BLACKSTEEL_BLADE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	DRAGONS_BALLZ	WAR_SANDALS	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AXE_OF_GRINDING	BOWIE_KNIFE	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	ORGANIC_BOOK_OF_NATURE	UNTESTED_JETPACK	RATTLING_SABRE	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	LIGHTNING_GREASE	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	HELM_OF_SCREAMING_MANFACE
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	CANNON_CANOE	LITTLE_PRICKS	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	ENGAGEMENT_KNUCKLES	BOOM_BOX	DRAGONS_BALLZ	LITTLE_PRICKS
ORANGE_8	BLUNT_BLADE	POISONED_DAGGER	BELL_OF_SILENCE	EYE_ON_THE_PRIZE	AXE_OF_GRINDING	LIGHTNING_GREASE
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	GOLDEN_SLINGSHOT	THE_HUSTLE	BOOM_BOX	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	DRAGON_BLANKIE	GIANTS_GROG	BEARLY_THERE_BOOTS	ENGAGEMENT_KNUCKLES
CYAN_2	GREAVES_OF_PLEIAS	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	MYSTERIOUS_EGG	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CRUDE_SNIPPERS	FLOPPIN_FLIP_FLOPS
CYAN_4		DRAGON_SAND_BOOTS	NAVIGATION_TO_THE_PAST	SUNBLOCK_GOGGLES	SAND_STORM	WILDYS_HAT
RED						
