	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	RUBBER_VEST	STOLEN_SNEAKERS	BIT_O_NIP	PAPER_CROWN	STOLEN_SNEAKERS
GREEN	GOBLIN_WHACKER	LOAFERS_OF_ALACRITY	SWASH_BUCKLER	GOBLIN_WHACKER	YA_VAMPIRE_SERIES	STICK_ON_MOUSTACHE
GREEN_1	RACING_STRIPES	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	LIFESIPPER	BESSIES_BANE	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	BANJO_OF_DUELING	GOBLIN_WHACKER	THE_MAD_GODS_TRIDENT	LOAFERS_OF_ALACRITY	SOCK_FULL_O_PENNIES
BLUE_1	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	PENETRABLE_ARMOR	FLAIL_OF_TOTAL_DEVASTATION	BLISSFUL_IGNORANCE	SOCK_FULL_O_PENNIES
BLUE_2	THE_COMPENSATOR	DIRK_OF_DISEMBOWELING	SWASH_BUCKLER	SPUD_GUN	PLASTIC_VAMPIRE_TEETH	PLUCKY_HEROINES_SHORTBOW
PURPLE	SUPER_SPIKEY_SPEAR	HEAD_BANGER	SNAZZY_VEST	HAMMER_OF_WICKED_BEATS	THONG_OF_VITALITY	INTIMIDATING_BEARD
PURPLE_1	LAVISHLY_ADORNED_RAPIER	DEATH_METAL_BLADE	TEN_FOOT_POLE	HEAD_BANGER	FLAIL_OF_TOTAL_DEVASTATION	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	AXES_OF_DUAL_WIELDING	BANJO_OF_DUELING	BIG_STABBY_SPEAR	THE_MAD_GODS_TRIDENT	INTIMIDATING_BEARD
PURPLE_3	DEAD_EYE	MUSSEL_MILK	THONG_OF_VITALITY	LICHE_FINGER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	RING_OF_THE_SQUIRREL	SHOT_IN_THE_ARM_3_ORDER	VORPAL_BOOMERANG	DEATH_METAL_BLADE	FLAIL_OF_TOTAL_DEVASTATION
ORANGE	RATTLING_SABRE	WAR_SANDALS	READIN_RAIN_BOW	DEAD_EYE	BIG_STABBY_SPEAR	MITHRIL_OREEAL
ORANGE_1	GLASS_CASE_OF_EMOTION	BOWIE_KNIFE	DUELING_KNIVES_OF_HACKENSLASH	RING_OF_THE_SQUIRREL	BLACKSTEEL_BLADE	DECODER_RING_3_ORDER
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	UNTESTED_JETPACK	DRAGONS_BALLZ	WAR_SANDALS	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	MACGUFFIN_FRAGMENT_45	AMULET_OF_CONCENTRATED_AWESOME	BOWIE_KNIFE	POWER_OF_SCIENCE	READIN_RAIN_BOW
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	GLASS_CANNON	ROLL_OF_DUCT_TAPE	RATTLING_SABRE	DEERSTALKER_HAT
ORANGE_5	SHOES_OF_THE_MAD_GOD	PHAT_PANTS	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	DIRTY_BASTARD_SWORD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	FRIENDZONITE	HEAL_AID	HOLY_LANCE_OF_PLOT_ADVANCEMENT	HAIR_OF_THE_DOG
ORANGE_8	LOST_GREAVES	POISONED_DAGGER	ILLUSORY_HURDLE	STAY_BOARD	AMULET_OF_CONCENTRATED_AWESOME	HEAL_AID
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	CAT_O_NINE_TAILS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	DRAGON_BLANKIE	POISONED_DAGGER	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	DRAGONS_BLADE	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	DRAGON_LEATHER_TIGHTS	MYSTERIOUS_EGG	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CAT_O_NINE_TAILS	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	MAGICAL_CREAM	DANCERS_BRA	PRICKLING_WHIP
RED						
