	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	BIT_O_NIP	PAPER_CROWN	LOADED_DIE	RUBBER_VEST
GREEN	SPARKLE_PONY_KEYCHAIN	CHUNKY_FEMUR	SNAZZY_VEST	SMARTY_PANTS	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	PRETTY_SWEET_CAPE	CHUNKY_FEMUR	TEN_FOOT_POLE	WAND_OF_GOLD_SPARKLES	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	THE_POWER_OF_MEDICINE	BESSIES_BANE	NECRONOMICON	SIDE_OF_BACON	STICK_ON_MOUSTACHE
BLUE_1	ORB_OF_EVERLASTING_FLAVOR	TOME_OF_FORBIDDEN_TRIVIA	ENCHANTED_ELBOW_PADS	SNAKE_OIL	SHINY_BOTTLECAP	HIPPY_GLO_STICKS
BLUE_2	DIPLOMATIC_IMMUNITY	THE_COMPENSATOR	BIT_O_NIP	SHOT_IN_THE_ARM	STAFF_OF_BOSS_FIGHTING	BUTTER_KNIFE
PURPLE	THE_1_RING	ENIDS_EXPENSIVE_ELIXIR	IMPRACTICAL_CHESTPLATE	DIPLOMATIC_IMMUNITY	THONG_OF_VITALITY	HIPPY_GLO_STICKS
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	ADAMANTIUM_TIARA	NECRONOMICON	SMARTY_PANTS	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	FRAMED_DIPLOMA	THE_UGLY_STICK	TOME_OF_NASTY_BEHAVIOR	THE_MAD_GODS_TRIDENT	INTIMIDATING_BEARD
PURPLE_3	LAVISHLY_ADORNED_RAPIER	SHOVEL	THONG_OF_VITALITY	WIZARDY_FOR_IDIOTS	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	POCKET_PROTECTOR	THE_1_RING	THINKING_CAP
ORANGE	JAR_OF_KITTEN_TEAR	PHOTO_BOMB	PURPLE_PILLS_OF_POTENCY	WIZARDY_FOR_IDIOTS	LIFEDRINKER	MITHRIL_OREEAL
ORANGE_1	UNICORN_PUKE	AXE_OF_GRATUITOUS_GUITAR_SOLOS	DEERSTALKER_HAT	HIGH_TEA	DRAGON_SCALE	MITHRIL_OREEAL
ORANGE_2	ORNATE_CROWN_OF_THE_GM	ROLL_OF_DUCT_TAPE	CHAMPIONSHIP_BELT	PHOTO_BOMB	BLACKSTEEL_BLADE	PURIFYING_TUNING_FORK
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	THE_HOLY_PAIL	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	RATTLING_SABRE	DEERSTALKER_HAT
ORANGE_5	SHOES_OF_THE_MAD_GOD	LOST_CONCEPT_ART	FLAMEY_POOFS	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	CHAMPIONSHIP_BELT
ORANGE_6	BEARLY_THERE_BOOTS	HEARTY_CHEST	TIME_SAVER	VOLATILE_SMOOTHIE	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	HEART_HEALTH_CANDY	THE_HUSTLE	FRIENDZONITE	UPHOLSTERED_THRONE	CHAMPIONSHIP_BELT	HAMMER_TIME
ORANGE_8	LOST_GREAVES	GIANTS_GROG	CROWNING_ACHIEVEMENT	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	BLACKSMITH_BREW	RUBY_FLIP_FLOPS	CAT_O_NINE_TAILS	GROUND_GEARS	BOOM_BOX	MIND_MAP
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	EYE_ON_THE_PRIZE	FRIENDZONITE
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	MYSTERIOUS_EGG	DOUBLE_AXE	BLUNT_BLADE	GOLDEN_SLINGSHOT	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	PYRAMID_POWER	MASK_OF_THE_ANCIENT_KING	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
