	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	FOAM_FINGER	GOBLIN_GROG
GREEN	SPARKLE_PONY_KEYCHAIN	BLOODY_BAT	LUCKY_ORCS_FOOT	SNAZZY_VEST	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	PRETTY_SWEET_CAPE	CHUNKY_FEMUR	TEN_FOOT_POLE	WAND_OF_GOLD_SPARKLES	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	THE_POWER_OF_MEDICINE	BESSIES_BANE	NECRONOMICON	SIDE_OF_BACON	STICK_ON_MOUSTACHE
BLUE_1	ROD_OF_BADASSERY	SNAKE_OIL	BLISSFUL_IGNORANCE	TOME_OF_FORBIDDEN_TRIVIA	RAW_EGG	STICK_ON_MOUSTACHE
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	THINKING_CAP	CHUNKY_FEMUR	ADAMANTIUM_TIARA	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	TOME_OF_NASTY_BEHAVIOR	LASER_POINTER	CHUNKY_FEMUR	FRAMED_DIPLOMA	TEN_FOOT_POLE	SOCK_FULL_O_PENNIES
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	LUCKY_ORCS_FOOT	THE_1_RING	THE_POWER_OF_MEDICINE	SOCK_FULL_O_PENNIES
PURPLE_2	SUPER_SPIKEY_SPEAR	LASER_POINTER_3_ORDER	VAMPIRE_BUNNYEARS	ADAMANTIUM_TIARA	SHOT_IN_THE_ARM	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	LASER_POINTER_4_ORDER	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	TOME_OF_FORBIDDEN_TRIVIA	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	POCKET_PROTECTOR	FRAMED_DIPLOMA	ENIDS_EXPENSIVE_ELIXIR
ORANGE	JAR_OF_KITTEN_TEAR	PHOTO_BOMB	WICKED_MULLET	LOST_DISK_OF_POWER	ROD_OF_WITTY_PARTY_BANTER	LASER_POINTER_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	AXE_OF_GRATUITOUS_GUITAR_SOLOS	DEERSTALKER_HAT	RING_OF_THE_SQUIRREL	CHUGG_BOOTS	LASER_POINTER_3_ORDER
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	ANTI_MAGIC_SHIELD	CHUGG_BOOTS	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	AMULET_OF_CONCENTRATED_AWESOME	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	GLASS_CANNON	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	TUNNEL_VISION	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	FLOPPIN_FLIP_FLOPS	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	GLASS_CANNON	CHAMPIONSHIP_BELT	RING_OF_ILL_WILL
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	MAD_GODS_MUG	GROUND_GEARS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	RINGS_OF_A_FEATHER	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	TRIASSIC_TRINKET	FLOPPIN_FLIP_FLOPS	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	THE_SHIELD_STOPS_YOU	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
