	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	RUBBER_VEST	PAPER_CROWN	STOLEN_SNEAKERS	MY_FIRST_SHIELD
GREEN	BLOODY_BAT	RAW_EGG	SHINY_BOTTLECAP	BLOODY_BAT	PROTEIN_POWDER	STICK_ON_MOUSTACHE
GREEN_1	VAMPIRE_BUNNYEARS	SPARKLE_PONY_KEYCHAIN	BESSIES_BANE	MUSCLE_WAX	RAW_EGG	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	THONG_OF_VITALITY	PROTEIN_POWDER	LEAD_ZEPPELIN	THE_UGLY_STICK	SOCK_FULL_O_PENNIES
BLUE_1	MUSSEL_MILK	SNAZZY_VEST	THONG_OF_VITALITY	THE_MAD_GODS_TRIDENT	TEN_FOOT_POLE	DIRECTORS_CUT
BLUE_2	DIRK_OF_DISEMBOWELING	THE_COMPENSATOR	VAMPIRE_BUNNYEARS	HEAD_BANGER	SWASH_BUCKLER	PLUCKY_HEROINES_SHORTBOW
PURPLE	SUPER_SPIKEY_SPEAR	THONG_OF_VITALITY	MUSCLE_WAX	HAMMER_OF_WICKED_BEATS	EXCALIBURTREYNOLDS	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	DIPLOMATIC_IMMUNITY	FLAIL_OF_TOTAL_DEVASTATION	MJOLNIRBY	DEATH_METAL_BLADE	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	ADAMANTIUM_TIARA	THONG_OF_VITALITY	DIRK_OF_DISEMBOWELING	DEATH_METAL_BLADE	INTIMIDATING_BEARD
PURPLE_3	BLACKSTEEL_BLADE	LICHE_FINGER	THONG_OF_VITALITY	LAVISHLY_ADORNED_RAPIER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	PETER_PIPERS_PEPPER_SPRAY	MJOLNIRBY	SHOVEL	DEATH_METAL_BLADE	FLAIL_OF_TOTAL_DEVASTATION
ORANGE	MYSTICAL_ELVEN_JUNK	ANTI_MAGIC_SHIELD	PURPLE_PILLS_OF_POTENCY	HAROLDS_HOMEMADE_HALBERD	GRIEVOUS_BODILY_HARM	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	UNICORN_PUKE	HEALTHY_DOSE_OF_SKEPTICISM	MONSTER_HUNTER_ARMOR	HIGH_TEA	BLACKSTEEL_BLADE	MITHRIL_OREEAL
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	SWEATBAND_OF_TRAINING_MONTAGES	DRAGONS_BALLZ	SELF_PRESERVER	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ANCIENT_TOME_OF_OCCULT_NONSENSE	AMULET_OF_CONCENTRATED_AWESOME	HEALTHY_DOSE_OF_SKEPTICISM	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	POLITICAL_PLATFORM_SHOES	SWEATBAND_OF_TRAINING_MONTAGES	RATTLING_SABRE	MONSTER_HUNTER_ARMOR
ORANGE_5	SHOES_OF_THE_MAD_GOD	PHAT_PANTS	TUNNEL_VISION	ANCIENT_TOME_OF_OCCULT_NONSENSE	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	CANNON_CANOE	VOLATILE_SMOOTHIE	TAROT_DECK_OF_HYPERBOLE	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	FLOPPIN_FLIP_FLOPS	CREATINE_CACTUS	FRIENDZONITE	UPHOLSTERED_THRONE	CHAMPIONSHIP_BELT	HAMMER_TIME
ORANGE_8	LOST_GREAVES	POISONED_DAGGER	CROWNING_ACHIEVEMENT	BEARLY_THERE_BOOTS	AMULET_OF_CONCENTRATED_AWESOME	LOST_CONCEPT_ART
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	CAT_O_NINE_TAILS	CREATINE_CACTUS	BOOM_BOX	CANNON_CANOE
CYAN_1	ESCUTCHEON_OF_EYES	OGRES_BATTERING_RAM	NAUGHTY_TAPESTRY	POISONED_DAGGER	BEARLY_THERE_BOOTS	ENGAGEMENT_KNUCKLES
CYAN_2	BRACELET_OF_LIGHTNING	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	DENSE_CAKE_OF_HATE	FLOPPIN_FLIP_FLOPS	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	MYSTERIOUS_EGG	DOUBLE_AXE	BLUNT_BLADE	GOLDEN_SLINGSHOT	FLOPPIN_FLIP_FLOPS
CYAN_4		DRAGON_SAND_BOOTS	NAVIGATION_TO_THE_PAST	SUNBLOCK_GOGGLES	MASK_OF_THE_ANCIENT_KING	IRON_CLAWS
RED						
