	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	RUBBER_VEST	PAPER_CROWN	STOLEN_SNEAKERS	MY_FIRST_SHIELD
GREEN	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	FREE_MANS_CROWBAR	SNAZZY_VEST	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	VAMPIRE_BUNNYEARS	SPARKLE_PONY_KEYCHAIN	BESSIES_BANE	MUSCLE_WAX	RAW_EGG	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	THONG_OF_VITALITY	PROTEIN_POWDER	LEAD_ZEPPELIN	THE_UGLY_STICK	SOCK_FULL_O_PENNIES
BLUE_1	DEATH_METAL_BLADE	THE_COMPENSATOR	ARCANE_SLACKS	BLISSFUL_IGNORANCE	BAG_O_HAMMERS	SOCK_FULL_O_PENNIES
BLUE_2	DIRK_OF_DISEMBOWELING	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	THE_COMPENSATOR	VAMPIRE_BUNNYEARS	SOCK_FULL_O_PENNIES
PURPLE	SUPER_SPIKEY_SPEAR	THONG_OF_VITALITY	MUSCLE_WAX	HAMMER_OF_WICKED_BEATS	EXCALIBURTREYNOLDS	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	THE_COMPENSATOR	RAW_EGG	MUSSEL_MILK	LEAD_ZEPPELIN	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	GLAIVE_OF_DISMEMBERMENT	VAMPIRE_BUNNYEARS	DIPLOMATIC_IMMUNITY	GENTLEMENS_CLUB	INTIMIDATING_BEARD
PURPLE_3	BLACKSTEEL_BLADE	LICHE_FINGER	THONG_OF_VITALITY	LAVISHLY_ADORNED_RAPIER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	EXTREME_FAD_DIET	OVERPOWERING_FRAGRANCE	SWORDY_MCEPICPANTS	SUPER_SPIKEY_SPEAR	FLAIL_OF_TOTAL_DEVASTATION
ORANGE	MYSTICAL_ELVEN_JUNK	PHOTO_BOMB	PURPLE_PILLS_OF_POTENCY	LIGER_BALM	LIFEDRINKER	LAVISHLY_ADORNED_RAPIER
ORANGE_1	UNICORN_PUKE	BOWIE_KNIFE	DUELING_KNIVES_OF_HACKENSLASH	EXTREME_FAD_DIET	CHUGG_BOOTS	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	ROLL_OF_DUCT_TAPE	CHAMPIONSHIP_BELT	WAR_SANDALS	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HEALTHY_DOSE_OF_SKEPTICISM	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	ORGANIC_BOOK_OF_NATURE	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	LIGHTNING_GREASE	STAY_BOARD	THE_HOLY_PAIL	GLASS_CASE_OF_EMOTION	HELM_OF_SCREAMING_MANFACE
ORANGE_6	EYE_ON_THE_PRIZE	DOUBLE_BLADED_SWORD	NEW_KNIGHT_IN_TOWN	VOLATILE_SMOOTHIE	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	THE_HUSTLE	DODGY_JEWELRY	GLASS_CANNON	HELM_OF_SCREAMING_MANFACE	VOLATILE_SMOOTHIE
ORANGE_8	LOST_GREAVES	GIANTS_GROG	BELL_OF_SILENCE	BRAIN_GUARD_9000	AMULET_OF_CONCENTRATED_AWESOME	PHAT_PANTS
CYAN	FEATHER_WEIGHT_PAULDRONS	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	GROUND_GEARS	BOOM_BOX	MIND_MAP
CYAN_1	SOUL_FOR_POWER_VOLUME_45	HEART_HAT	DRAGON_BLANKIE	GIANTS_GROG	BEARLY_THERE_BOOTS	ENGAGEMENT_KNUCKLES
CYAN_2	DRAGONS_BLADE	WRAITH_BARRIER	LAZARUS_BEANS	RUBY_FLIP_FLOPS	HEART_HEALTH_CANDY	BELL_OF_SILENCE
CYAN_3	ADVENTURERS_RIDES	BONE_CRUSHING_PLIERS	DOUBLE_AXE	BLUNT_BLADE	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	SUNBLOCK_GOGGLES	MASK_OF_THE_ANCIENT_KING
RED						
