	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	MY_FIRST_SHIELD	STOLEN_SNEAKERS	FREE_MANS_CROWBAR	RUBBER_VEST
GREEN	LOAFERS_OF_ALACRITY	GOBLIN_WHACKER	GOBLIN_GROG	SWASH_BUCKLER	SNAZZY_VEST	STICK_ON_MOUSTACHE
GREEN_1	RACING_STRIPES	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	SPARKLE_PONY_KEYCHAIN	ARCANE_SLACKS	STICK_ON_MOUSTACHE
BLUE	BAG_O_HAMMERS	THONG_OF_VITALITY	SNAZZY_VEST	ROD_OF_TASING	GENTLEMENS_CLUB	SOCK_FULL_O_PENNIES
BLUE_1	AXES_OF_DUAL_WIELDING	THE_COMPENSATOR	GOBLIN_WHACKER	LIFESIPPER	TEN_FOOT_POLE	SOCK_FULL_O_PENNIES
BLUE_2	DIRK_OF_DISEMBOWELING	FLAIL_OF_TOTAL_DEVASTATION	YA_VAMPIRE_SERIES	GLAIVE_OF_DISMEMBERMENT	BAG_O_HAMMERS	PLUCKY_HEROINES_SHORTBOW
PURPLE	SHOVEL	PLASTIC_VAMPIRE_TEETH	GOBLIN_WHACKER	MUSSEL_MILK	THONG_OF_VITALITY	PLUCKY_HEROINES_SHORTBOW
PURPLE_1	LAVISHLY_ADORNED_RAPIER	DEATH_METAL_BLADE	LIFESIPPER	SUPER_SPIKEY_SPEAR	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	DIRK_OF_DISEMBOWELING	GOBLIN_WHACKER	ENIDS_EXPENSIVE_ELIXIR	ROD_OF_TASING	INTIMIDATING_BEARD
PURPLE_3	DEAD_EYE	MUSSEL_MILK	THONG_OF_VITALITY	LICHE_FINGER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	HIGH_TEA	OVERPOWERING_FRAGRANCE	SHOVEL	SWORDY_MCEPICPANTS	FLAIL_OF_TOTAL_DEVASTATION
ORANGE	RATTLING_SABRE	SELF_PRESERVER	PURPLE_PILLS_OF_POTENCY	DEAD_EYE	LIFEDRINKER	LASER_POINTER_3_ORDER
ORANGE_1	UNICORN_PUKE	HEALTHY_DOSE_OF_SKEPTICISM	DUELING_KNIVES_OF_HACKENSLASH	HIGH_TEA	DECODER_RING_3_ORDER	CHUGG_BOOTS
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	CHAMPIONSHIP_BELT	SELF_PRESERVER	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AXE_OF_GRINDING	HEALTHY_DOSE_OF_SKEPTICISM	YODELING_SWORD	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	FOUR_D_GLASSES	HAIR_OF_THE_DOG	ROLL_OF_DUCT_TAPE	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	BOOM_BOX	HEAL_AID	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	CANNON_CANOE	FOUR_D_GLASSES	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	FLOPPIN_FLIP_FLOPS	GROUND_GEARS	DODGY_JEWELRY	LIGHTNING_GREASE	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	BRAIN_GUARD_9000	AMULET_OF_CONCENTRATED_AWESOME	LIGHTNING_GREASE
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	CRUDE_SNIPPERS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	RING_OF_FIRE	POISONED_DAGGER	EYE_ON_THE_PRIZE	DODGY_JEWELRY
CYAN_2	DRAGONS_BLADE	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	BLUNT_BLADE	CAT_O_NINE_TAILS	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	SAND_STORM	MAGICAL_CREAM	PRICKLING_WHIP
RED						
