	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	FOAM_FINGER	GOBLIN_GROG
GREEN	SPARKLE_PONY_KEYCHAIN	BLOODY_BAT	LUCKY_ORCS_FOOT	SNAZZY_VEST	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	PRETTY_SWEET_CAPE	CHUNKY_FEMUR	TEN_FOOT_POLE	WAND_OF_GOLD_SPARKLES	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	THE_POWER_OF_MEDICINE	BESSIES_BANE	NECRONOMICON	SIDE_OF_BACON	STICK_ON_MOUSTACHE
BLUE_1	ROD_OF_BADASSERY	SNAKE_OIL	BLISSFUL_IGNORANCE	TOME_OF_FORBIDDEN_TRIVIA	RAW_EGG	STICK_ON_MOUSTACHE
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	THINKING_CAP	CHUNKY_FEMUR	ADAMANTIUM_TIARA	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	TOME_OF_NASTY_BEHAVIOR	LASER_POINTER	CHUNKY_FEMUR	FRAMED_DIPLOMA	TEN_FOOT_POLE	SOCK_FULL_O_PENNIES
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	LUCKY_ORCS_FOOT	THE_1_RING	THE_POWER_OF_MEDICINE	SOCK_FULL_O_PENNIES
PURPLE_2	SUPER_SPIKEY_SPEAR	LASER_POINTER_3_ORDER	VAMPIRE_BUNNYEARS	ADAMANTIUM_TIARA	SHOT_IN_THE_ARM	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	LASER_POINTER_4_ORDER	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	TOME_OF_FORBIDDEN_TRIVIA	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	FRAMED_DIPLOMA	ENIDS_EXPENSIVE_ELIXIR	THINKING_CAP
ORANGE	MYSTICAL_ELVEN_JUNK	PHOTO_BOMB	WICKED_MULLET	LIGER_BALM	ROD_OF_WITTY_PARTY_BANTER	DECODER_RING_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	HEALTHY_DOSE_OF_SKEPTICISM	DEERSTALKER_HAT	HIGH_TEA	DRAGON_SCALE	LASER_POINTER_3_ORDER
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HEALTHY_DOSE_OF_SKEPTICISM	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	HAIR_OF_THE_DOG	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	PHAT_PANTS	BRAIN_PILLS	THE_HOLY_PAIL	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	HEARTY_CHEST	MIND_MAP	FOUR_D_GLASSES	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	UPHOLSTERED_THRONE	DRAGONS_BALLZ	RING_OF_ILL_WILL
ORANGE_8	FLATTERING_MIRROR	GIANTS_GROG	BELL_OF_SILENCE	STAY_BOARD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	MAD_GODS_MUG	MUNDANE_MUSHROOMS	BOOM_BOX	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	HEART_HAT	DRAGON_BLANKIE	POISONED_DAGGER	BRAIN_GUARD_9000	DODGY_JEWELRY
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	HEART_HEALTH_CANDY	BELL_OF_SILENCE
CYAN_3	IRON_HELMET_OF_BIKING	MYSTERIOUS_EGG	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	MAD_GODS_MUG	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	SAND_STORM	MAGICAL_CREAM	WILDYS_HAT
RED						
