	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE
GREEN	WAND_OF_GOLD_SPARKLES	CHUNKY_FEMUR	BLOODY_BAT	SMARTY_PANTS	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	STAFF_OF_BOSS_FIGHTING	SACRED_CODEX	BIT_O_NIP	KING_JEFFS_CROSSBOW	SNAZZY_VEST	STICK_ON_MOUSTACHE
BLUE	LASER_POINTER	WAND_OF_GOLD_SPARKLES	CHUNKY_FEMUR	ROD_OF_TASING	SMARTY_PANTS	HIPPY_GLO_STICKS
BLUE_1	LASER_POINTER	THE_COMPENSATOR	SMARTY_PANTS	NECRONOMICON	WAND_OF_GOLD_SPARKLES	HIPPY_GLO_STICKS
BLUE_2	LASER_POINTER_2_ORDER	ORB_OF_EVERLASTING_FLAVOR	BLOODY_BAT	FRAMED_DIPLOMA	WAND_OF_GOLD_SPARKLES	HIPPY_GLO_STICKS
PURPLE	ENIDS_EXPENSIVE_ELIXIR	NECRONOMICON	SHINY_BOTTLECAP	THE_1_RING	WAND_OF_GOLD_SPARKLES	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	ADAMANTIUM_TIARA	KING_JEFFS_CROSSBOW	HAMMER_OF_WICKED_BEATS	KING_JEFFS_CROSSBOW	INTIMIDATING_BEARD
PURPLE_2	LASER_POINTER_3_ORDER	ROD_OF_WITTY_PARTY_BANTER	STAFF_OF_BOSS_FIGHTING	MITHRIL_OREEAL	IMPRACTICAL_CHESTPLATE	INTIMIDATING_BEARD
PURPLE_3	LASER_POINTER_4_ORDER	LOST_DISK_OF_POWER	THE_COMPENSATOR	MOTIVATIONAL_CASSETTE	ROD_OF_TASING	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	FRAMED_DIPLOMA	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	THINKING_CAP
ORANGE	LOST_DISK_OF_POWER	ANTI_MAGIC_SHIELD	WICKED_MULLET	JAR_OF_KITTEN_TEAR	ROD_OF_WITTY_PARTY_BANTER	MITHRIL_OREEAL
ORANGE_1	GLASS_CASE_OF_EMOTION	HEALTHY_DOSE_OF_SKEPTICISM	DEERSTALKER_HAT	RING_OF_THE_SQUIRREL	LASER_POINTER_3_ORDER	CHUGG_BOOTS
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HEALTHY_DOSE_OF_SKEPTICISM	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	BRAIN_PILLS	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	CAT_O_NINE_TAILS	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MYSTERIOUS_EGG	DOUBLE_AXE	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4	DEDICATED_UNSTABLE_UNDERSTUDY	PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	MAGICAL_CREAM	DANCERS_BRA	MAGICAL_WATER_BOTTLE
RED	DEDICATED_UNSTABLE_UNDERSTUDY	FEATHER_OF_PHOENIX	HERMITS_PILLS	DROP_OF_MOONLIGHT	EXPLOSIVE_CANNON	PORTABLE_NUTRITIOUS_DIET
