	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	BIT_O_NIP	PAPER_CROWN	ENCHANTED_ELBOW_PADS	RUBBER_VEST
GREEN	WAND_OF_GOLD_SPARKLES	SNAZZY_VEST	BLOODY_BAT	CHUNKY_FEMUR	LUCKY_ORCS_FOOT	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	SPARKLE_PONY_KEYCHAIN	BIT_O_NIP	THE_POWER_OF_MEDICINE	SMARTY_PANTS	STICK_ON_MOUSTACHE
BLUE	ROD_OF_TASING	TEN_FOOT_POLE	HEMP_BRACELET	ORB_OF_EVERLASTING_FLAVOR	SIDE_OF_BACON	HIPPY_GLO_STICKS
BLUE_1	THE_POWER_OF_MEDICINE_2_ORDER	BLISSFUL_IGNORANCE	MUSCLE_WAX	SNAKE_OIL	SACRED_CODEX	SOCK_FULL_O_PENNIES
BLUE_2	DIPLOMATIC_IMMUNITY	THE_COMPENSATOR	BIT_O_NIP	SHOT_IN_THE_ARM	STAFF_OF_BOSS_FIGHTING	BUTTER_KNIFE
PURPLE	THE_1_RING	NECRONOMICON	RAW_EGG	THE_POWER_OF_MEDICINE_3_ORDER	IMPRACTICAL_CHESTPLATE	BUTTER_KNIFE
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	FRAMED_DIPLOMA	WAND_OF_GOLD_SPARKLES	SUPER_SPIKEY_SPEAR	EXCALIBURTREYNOLDS	INTIMIDATING_BEARD
PURPLE_2	THE_POWER_OF_MEDICINE_4_ORDER	ADAMANTIUM_TIARA	BLISSFUL_IGNORANCE	HAMMER_OF_WICKED_BEATS	SACRED_CODEX	INTIMIDATING_BEARD
PURPLE_3	POCKET_PROTECTOR	LOST_DISK_OF_POWER	ROD_OF_TASING	DIPLOMATIC_IMMUNITY	NECRONOMICON	INTIMIDATING_BEARD
PURPLE_4	PURIFYING_TUNING_FORK	FRAMED_DIPLOMA	GIRDLE_OF_VICTORY	HIGH_TEA	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	TOME_OF_FORBIDDEN_TRIVIA
ORANGE	JAR_OF_KITTEN_TEAR	PHOTO_BOMB	WICKED_MULLET	WIZARDY_FOR_IDIOTS	ROD_OF_WITTY_PARTY_BANTER	THE_POWER_OF_MEDICINE_4_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	HELM_OF_THE_RAGING_BEAR	DEERSTALKER_HAT	HIGH_TEA	DRAGON_SCALE	LASER_POINTER_3_ORDER
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	DRAGON_SCALE	THE_POWER_OF_MEDICINE_4_ORDER
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	AMULET_OF_CONCENTRATED_AWESOME	HELM_OF_THE_RAGING_BEAR	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	GLASS_CANNON	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	HEAL_AID	TUNNEL_VISION	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	DODGY_JEWELRY	UPHOLSTERED_THRONE	DRAGONS_BALLZ	RING_OF_ILL_WILL
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BRAIN_GUARD_9000	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	CAT_O_NINE_TAILS	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MYSTERIOUS_EGG	FAMILIAR_ENERGY_TANK	FLATTERING_MIRROR	MAD_GODS_MUG	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	SAND_STORM	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
