	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	PAPER_CROWN	BIT_O_NIP	PAPER_CROWN	ENCHANTED_ELBOW_PADS	FINE_BRIE
GREEN	RAW_EGG	BLOODY_BAT	BESSIES_BANE	FINE_BRIE	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	THONG_OF_VITALITY	BLISSFUL_IGNORANCE	BLOODY_BAT	AND_MY_AXE	PENETRABLE_ARMOR	STICK_ON_MOUSTACHE
BLUE	ROD_OF_TASING	SACRED_CODEX	NONSTICK_SHIELD	STAFF_OF_BOSS_FIGHTING	HEMP_BRACELET	STICK_ON_MOUSTACHE
BLUE_1	ROD_OF_TASING	IMPRACTICAL_CHESTPLATE	BLOODY_BAT	MUSSEL_MILK	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
BLUE_2	THE_1_RING	THE_COMPENSATOR	CHUNKY_FEMUR	LASER_POINTER	BLISSFUL_IGNORANCE	BUTTER_KNIFE
PURPLE	HAMMER_OF_WICKED_BEATS	LASER_POINTER	BLOODY_BAT	SHOT_IN_THE_ARM	THONG_OF_VITALITY	HIPPY_GLO_STICKS
PURPLE_1	LAVISHLY_ADORNED_RAPIER	HAROLDS_HOMEMADE_HALBERD	LOAFERS_OF_ALACRITY	SHOVEL	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_2	SANDWICH_OF_UNSURPASSED_MEATINESS	ADAMANTIUM_TIARA	IMPRACTICAL_CHESTPLATE	SVENS_SWORD_OF_DOOOOOM	AXES_OF_DUAL_WIELDING	INTIMIDATING_BEARD
PURPLE_3	DRAGON_SCALE	TOME_OF_NASTY_BEHAVIOR	THE_POWER_OF_MEDICINE_4_ORDER	BIG_STABBY_SPEAR	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	HIGH_TEA	PURIFYING_TUNING_FORK	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	ENIDS_EXPENSIVE_ELIXIR	ROD_OF_WITTY_PARTY_BANTER
ORANGE	MYSTICAL_ELVEN_JUNK	SELF_PRESERVER	PURPLE_PILLS_OF_POTENCY	LIGER_BALM	ROD_OF_WITTY_PARTY_BANTER	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	UNICORN_PUKE	HELM_OF_THE_RAGING_BEAR	MONSTER_HUNTER_ARMOR	EXTREME_FAD_DIET	DRAGON_SCALE	MITHRIL_OREEAL
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	ROLL_OF_DUCT_TAPE	DRAGONS_BALLZ	SELF_PRESERVER	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	GLORY_SEEKER	ANCIENT_TOME_OF_OCCULT_NONSENSE	AMULET_OF_CONCENTRATED_AWESOME	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	SICK_MULLET	VOLATILE_SMOOTHIE	POLITICAL_PLATFORM_SHOES	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	TUNNEL_VISION	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	HEARTY_CHEST	CANNON_CANOE	VOLATILE_SMOOTHIE	DIRTY_BASTARD_SWORD	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	HEART_HEALTH_CANDY	CREATINE_CACTUS	FRIENDZONITE	HEAL_AID	HOLY_LANCE_OF_PLOT_ADVANCEMENT	GLASS_CANNON
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	CROWNING_ACHIEVEMENT	BRAIN_GUARD_9000	AXE_OF_GRINDING	PHAT_PANTS
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	MAD_GODS_MUG	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BEARLY_THERE_BOOTS	DODGY_JEWELRY
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	MYSTERIOUS_EGG	DEVILS_POT	BLUNT_BLADE	GOLDEN_SLINGSHOT	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	BALANCE_OF_LIFE	MASK_OF_THE_ANCIENT_KING	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
