	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	MY_FIRST_SHIELD	FREE_MANS_CROWBAR	BIT_O_NIP	STOLEN_SNEAKERS	ENCHANTED_ELBOW_PADS
GREEN	SWASH_BUCKLER	GOBLIN_GROG	BLOODY_BAT	GOBLIN_WHACKER	SNAZZY_VEST	STICK_ON_MOUSTACHE
GREEN_1	YA_VAMPIRE_SERIES	RACING_STRIPES	FREE_MANS_CROWBAR	TEN_FOOT_POLE	SPARKLE_PONY_KEYCHAIN	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	BANJO_OF_DUELING	THE_MAD_GODS_TRIDENT	BAG_O_HAMMERS	ROD_OF_TASING	PLUCKY_HEROINES_SHORTBOW
BLUE_1	TEN_FOOT_POLE	BLISSFUL_IGNORANCE	FLAIL_OF_TOTAL_DEVASTATION	GENTLEMENS_CLUB	THONG_OF_VITALITY	PLUCKY_HEROINES_SHORTBOW
BLUE_2	DIRK_OF_DISEMBOWELING	DEATH_METAL_BLADE	THE_COMPENSATOR	HEAD_BANGER	BAG_O_HAMMERS	PLUCKY_HEROINES_SHORTBOW
PURPLE	SHOVEL	LIFESIPPER	SPUD_GUN	BOOTS_MADE_FOR_WALKIN	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_1	LAVISHLY_ADORNED_RAPIER	AXES_OF_DUAL_WIELDING	SUPER_SPIKEY_SPEAR	HAROLDS_HOMEMADE_HALBERD	THE_MAD_GODS_TRIDENT	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	DIRK_OF_DISEMBOWELING	ROD_OF_TASING	MITHRIL_OREEAL	DEATH_METAL_BLADE	INTIMIDATING_BEARD
PURPLE_3	BLACKSTEEL_BLADE	GRIEVOUS_BODILY_HARM	MUSSEL_MILK	TOME_OF_NASTY_BEHAVIOR	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	OVERPOWERING_FRAGRANCE	VORPAL_BOOMERANG	PETER_PIPERS_PEPPER_SPRAY	HEAD_BANGER	KINDNESS
ORANGE	RATTLING_SABRE	WAR_SANDALS	READIN_RAIN_BOW	HAROLDS_HOMEMADE_HALBERD	BIG_STABBY_SPEAR	LAVISHLY_ADORNED_RAPIER
ORANGE_1	GLASS_CASE_OF_EMOTION	BOWIE_KNIFE	DUELING_KNIVES_OF_HACKENSLASH	PETER_PIPERS_PEPPER_SPRAY	CHUGG_BOOTS	DECODER_RING_3_ORDER
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	HELM_OF_SCREAMING_MANFACE	WAR_SANDALS	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AXE_OF_GRINDING	BOWIE_KNIFE	YODELING_SWORD	READIN_RAIN_BOW
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	GLASS_CANNON	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	FLAMEY_POOFS	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	HELM_OF_SCREAMING_MANFACE
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	ENGAGEMENT_KNUCKLES	BOOM_BOX	HELM_OF_SCREAMING_MANFACE	LITTLE_PRICKS
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	EYE_ON_THE_PRIZE	AXE_OF_GRINDING	LIGHTNING_GREASE
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	CRUDE_SNIPPERS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	RING_OF_FIRE	RINGS_OF_A_FEATHER	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	DRAGONS_BLADE	SWORD_OF_DESPAIR	LAZARUS_BEANS	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	MAGICAL_PEST_MAST	DOUBLE_AXE	LOST_GREAVES	CRUDE_SNIPPERS	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	MASK_OF_THE_ANCIENT_KING	DANCERS_BRA	IRON_CLAWS
RED						
