	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FOAM_FINGER	FREE_MANS_CROWBAR	PAPER_CROWN	FOAM_FINGER	MY_FIRST_SHIELD
GREEN	BLOODY_BAT	GLOVES_OF_CRIT	ARTIFACT_OF_UNIMAGINABLE_POWER	BLOODY_BAT	BESSIES_BANE	STICK_ON_MOUSTACHE
GREEN_1	EXCALIBURTREYNOLDS	CAPTAINS_TIGHTPANTS	BLOODY_BAT	SPARKLE_PONY_KEYCHAIN	BESSIES_BANE	STICK_ON_MOUSTACHE
BLUE	LEAD_ZEPPELIN	BAG_O_HAMMERS	SNAZZY_VEST	THONG_OF_VITALITY	YA_VAMPIRE_SERIES	DIRECTORS_CUT
BLUE_1	MUSSEL_MILK	VAMPIRE_BUNNYEARS	PROTEIN_POWDER	AXES_OF_DUAL_WIELDING	SIDE_OF_BACON	DIRECTORS_CUT
BLUE_2	SUPER_SPIKEY_SPEAR	GENTLEMENS_CLUB	ARTIFACT_OF_UNIMAGINABLE_POWER	THE_MAD_GODS_TRIDENT	GENTLEMENS_CLUB	DIRECTORS_CUT
PURPLE	SHOVEL	FLAIL_OF_TOTAL_DEVASTATION	MUSCLE_WAX	THE_COMPENSATOR	RAW_EGG	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	LEAD_ZEPPELIN	BLOODY_BAT	MJOLNIRBY	MAGIC_EIGHT_BALL	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	DEATH_METAL_BLADE	THONG_OF_VITALITY	SWORDY_MCEPICPANTS	PLASTIC_VAMPIRE_TEETH	INTIMIDATING_BEARD
PURPLE_3	BIG_STABBY_SPEAR	ROBE_OF_SHARP_COMEBACKS	MUSSEL_MILK	LIGER_BALM	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	EXTREME_FAD_DIET	DIPLOMATIC_IMMUNITY	SWORDY_MCEPICPANTS	OVERPOWERING_FRAGRANCE	DEATH_METAL_BLADE
ORANGE	MYSTICAL_ELVEN_JUNK	LIFEDRINKER	PURPLE_PILLS_OF_POTENCY	LIGER_BALM	WAR_SANDALS	LAVISHLY_ADORNED_RAPIER
ORANGE_1	UNICORN_PUKE	EXTREME_FAD_DIET	HELM_OF_THE_RAGING_BEAR	MONSTER_HUNTER_ARMOR	BLACKSTEEL_BLADE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	ROLL_OF_DUCT_TAPE	HELM_OF_SCREAMING_MANFACE	SELF_PRESERVER	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	HAIR_OF_THE_DOG	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	FLAMEY_POOFS	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	CANNON_CANOE	FOUR_D_GLASSES	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	CREATINE_CACTUS	FRIENDZONITE	HEAL_AID	HOLY_LANCE_OF_PLOT_ADVANCEMENT	HAIR_OF_THE_DOG
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	CROWNING_ACHIEVEMENT	BRAIN_GUARD_9000	AXE_OF_GRINDING	PHAT_PANTS
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BEARLY_THERE_BOOTS	DODGY_JEWELRY
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	MYSTERIOUS_EGG	DOUBLE_AXE	BLUNT_BLADE	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	BALANCE_OF_LIFE	GOOD_SLEEPING_BED	MASK_OF_THE_ANCIENT_KING	MAGICAL_WATER_BOTTLE
RED						
