	EXP
1	25
2	30
3	40
4	60
5	80
6	100
7	130
8	150
9	180
10	180
11	210
12	220
13	220
14	230
15	240
16	270
17	280
18	290
19	290
20	300
21	380
22	410
23	450
24	500
25	550
26	600
27	650
28	700
29	750
30	800
31	850
32	900
33	1000
34	1200
35	1400
36	1600
37	1800
38	2000
39	2400
40	2800
41	3200
42	3600
43	4000
44	4400
45	4800
46	5200
47	5600
48	6000
49	6600
50	7200
51	7800
52	8400
53	9000
54	9700
55	10500
56	11500
57	12500
58	13500
59	14500
60	15500
61	16500
62	17500
63	18500
64	19500
65	20500
66	21500
67	22500
68	23500
69	24500
70	25500
71	27000
72	28000
73	30000
74	32000
75	34000
76	36000
77	38000
78	40000
79	42000
80	44000
81	46000
82	48000
83	50000
84	52000
85	54000
86	56000
87	58000
88	60000
89	62000
90	64000
91	66000
92	68000
93	70000
94	72000
95	74000
96	76000
97	78000
98	80000
99	82000
100	84000
101	86000
102	88000
103	90000
104	92000
105	94000
106	100000
107	110000
108	120000
109	130000
110	140000
111	150000
112	150000
113	150000
114	150000
115	150000
116	150000
117	150000
118	150000
119	150000
120	150000
121	150000
122	150000
123	150000
124	150000
125	150000
126	150000
127	150000
128	150000
129	150000
130	150000
131	150000
132	150000
133	150000
134	150000
135	150000
136	150000
137	150000
138	150000
139	150000
140	150000
141	150000
142	150000
143	150000
144	150000
145	150000
146	150000
147	150000
148	150000
149	150000
150	150000
151	150000
152	150000
153	150000
154	150000
155	150000
156	150000
157	150000
158	150000
159	150000
160	150000
161	150000
162	150000
163	150000
164	150000
165	150000
