	STRENGTH	INTELLECT	AGILITY	ACCURACY	DODGE	LIFE_STEAL_RATING
NPC_GOBLIN	(3.3 + 1.65* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.2 + 1* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(1.3 + 0.65 * S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	0	((L - 60) * .5) * (L > 60) 	0
NPC_WILDLING_ARCHER	(2 + 1* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(1.9 + 0.95* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.4 + 1.2 * S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	((L - 60) * .3) * (L > 60) 	((L - 60) * .8) * (L > 60) 	L*.4
NPC_CRYSTAL_GOLEM	(3.3 + 1.65* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.8 + 1.4* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.8 + 1.4* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	((L - 60) * .3) * (L > 60) +(L*10) * (L > 150) 	((L - 60) * .5) * (L > 60) 	L*.4
NPC_ICE_GOLEM	(2.3 + 0.9* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.7 + 1.25* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(1.2 + 0.8 * S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	((L - 60) * .3) * (L > 60) +(L*10) * (L > 150) 	((L - 60) * .5) * (L > 60) 	0
NPC_FIRE_IMP	(3.3 + 1.95* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.2 + 1* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(1.3 + 0.65 * S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	((L - 60) * .2) * (L > 60) +(L*7) * (L > 150) 	((L - 60) * 1) * (L > 60) 	0
NPC_STONE_IMP	(3.3 + 1.05* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.2 + 1* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(1.3 + 0.65 * S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	((L - 60) * .2) * (L > 60) +(L*7) * (L > 150) 	((L - 60) * .7) * (L > 60) 	L*.3
NPC_MYSTIC_WILDLING	(2.8 + 1.4* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(3.3 + 1.65* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.8 + 1.4* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	((L - 60) * .2) * (L > 60) 	((L - 60) * 1.2) * (L > 60) 	0
NPC_WILDLING_SNIPER	(2.8 + 1.4* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.8 + 1.4* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(3.3 + 1.65* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	((L - 60) * .5) * (L > 60) 	((L - 60) * 1.2) * (L > 60) 	L*.4
NPC_HEALER_SPRITE	(2.2 + 1* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(3.3 + 1.65* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(1.3 + 0.65 * S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	0	((L - 60) * 1.1) * (L > 60) 	0
NPC_BUFF_SPRITE	(1.3 + 0.65 * S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(3.3 + 1.65* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	(2.2 + 1* S) * L*((L<53)+(L>52)*(L*0.075+1)*0.2)	0	((L - 60) * 1.1) * (L > 60) 	0
