	MIN_LAUNCH_ANGLE	MAX_LAUNCH_ANGLE	MIN_LAUNCH_SPEED	MAX_LAUNCH_SPEED	GRAVITY	HOMING
NONE				500	0	FALSE
ARCHER_ARROW	20	45	2500	3500	2	FALSE
LIGHTNING	20	45	2500	3500	2	FALSE
BOUNCING_LIGHTNING	-180	180	2000	2000	0	FALSE
CENTAUR_OF_ATTENTION_0	-45	45	3500	4000	4	FALSE
CENTAUR_OF_ATTENTION_1	-45	45	3500	4000	4	FALSE
CENTAUR_OF_ATTENTION_2	-45	45	3500	4000	4	FALSE
CENTAUR_OF_ATTENTION_3	-45	45	3500	4000	4	FALSE
CENTAUR_OF_ATTENTION_6	-45	45	3500	4000	4	FALSE
FAITH_HEALER_BOOK_1	-45	45	3500	4000	2	FALSE
FAITH_HEALER_BOOK_2	-45	45	3500	4000	2	FALSE
SNAKE_DRAGON_SONIC_WAVE	-180	180	2000	2000	0	FALSE
DRAGON_LADY_DRAGON	-180	180	2000	2000	0	FALSE
NPC_FIREBALL	-90	90	3500	4000	0	FALSE
NPC_AOE_PHYS_CRYSTAL	43	48	1500	6000	6.4	FALSE
NPC_AOE_MAGIC_CRYSTAL	43	48	1500	6000	6.4	FALSE
NPC_MONSTER_PHYS_IMP	-90	90	3500	4000	0	FALSE
CRIMSON_WITCH_WRAITH_0	-180	180	1500	1500	0	FALSE
CRIMSON_WITCH_WRAITH_1	-180	180	1500	1500	0	FALSE
DUST_DEVIL_0	-45	45	3500	4000	4	FALSE
DUST_DEVIL_1	-180	180	1500	2000	0	FALSE
DUST_DEVIL_2	-180	180	1500	2000	0	FALSE
DUST_DEVIL_3	43	48	1500	6000	6.4	FALSE
DUST_DEVIL_4	-180	180	1500	1500	0	FALSE
MOON_DRAKE_ENERGY_BLUE	-180	180	3500	3500	0	FALSE
MOON_DRAKE_ENERGY_RED	-180	180	3500	3500	0	FALSE
MOON_DRAKE_LIGHT_BEAM	-180	180	4500	4500	0	FALSE
UNDERSTUDY_0	-180	180	4500	4500	0	FALSE
UNDERSTUDY_1	-180	180	2500	2500	0	FALSE
UNDERSTUDY_1_HAND	-180	180	4500	4500	0	FALSE
UNDERSTUDY_2	-180	180	4500	4500	0	FALSE
WILDLING_ARCHER_0	-35	20	3000	4000	1.5	FALSE
WILDLING_SNIPER_0	-35	20	3000	4000	1.5	FALSE
MYSTIC_WILDLING_0	-35	20	3000	4000	1.5	FALSE
DARK_DRACUL_0	-180	180	2000	2000	0	FALSE
DARK_DRACUL_1	-180	180	4500	4500	0	FALSE
BRUTE_DRAGON_1	-45	45	1500	1500	0	FALSE
BRUTE_DRAGON_2	-45	45	1500	1500	0	FALSE
COSMIC_ELF_0	-180	180	1500	1500	0	FALSE
COSMIC_ELF_3	-180	180	3000	3000	0	FALSE
CATAPULT_KNIGHT_0	-20	45	1500	4500	6.4	FALSE
CATAPULT_KNIGHT_1	-20	45	1500	4500	6.4	FALSE
CATAPULT_KNIGHT_2	-20	45	1500	4500	6.4	FALSE
CATAPULT_KNIGHT_3	-20	45	1500	4500	6.4	FALSE
