	STAT_X	STAT_Y	STAT_Z	STAT_W	EFFECT_DURATION
AQUATIC_MAN_0					
AQUATIC_MAN_1	60 + 20L + 2A				
AQUATIC_MAN_2	30 + 10L + 1A				2000
AQUATIC_MAN_3	12L				
AQUATIC_MAN_4	2.5L				
AQUATIC_MAN_5	0.005L	0.005L			
AQUATIC_MAN_TITAN	 (L^2)*.65+ 20L				
BARDBARIAN_0					
BARDBARIAN_1	5L	5L	.5	.5	8000
BARDBARIAN_2	10.5L + 0.75A				
BARDBARIAN_3	12L + A				
BARDBARIAN_4	.005L				
BARDBARIAN_5	5L + 0.5A	3			
BARDBARIAN_TITAN	.4	.4			
BONE_DRAGON_0					
BONE_DRAGON_1	15L + 1.5A	.5			
BONE_DRAGON_2	A	50 + 12L + 1.5A	.005L		6000
BONE_DRAGON_3	30L				4000
BONE_DRAGON_4	2L	1.4L			
BONE_DRAGON_5	2L + .2S	300		1000	6000
BONE_DRAGON_TITAN					
BROZERKER_0					
BROZERKER_1	100L				10000
BROZERKER_2	S + 26L	S + 12L			
BROZERKER_3	50L	S + 12L			10000
BROZERKER_4	0.001L				
BROZERKER_5	0.03L	0.03L			
BROZERKER_6	100L + S	30L			
BROZERKER_TITAN	.25	.5			10000
CATAPULT_KNIGHT_0					
CATAPULT_KNIGHT_1	200 + 15L + 0.8S				
CATAPULT_KNIGHT_2	90 + 16.5L + 0.8S				7000
CATAPULT_KNIGHT_3	11L + 0.7S				
CATAPULT_KNIGHT_4	0.005L				
CATAPULT_KNIGHT_5	0.00015L				
CENTAUR_OF_ATTENTION_0					
CENTAUR_OF_ATTENTION_1	40 + 7L + 0.5A				
CENTAUR_OF_ATTENTION_2	125 + 14L + 1A	0.25	0.25		5000
CENTAUR_OF_ATTENTION_3					4000
CENTAUR_OF_ATTENTION_4	4L				
CENTAUR_OF_ATTENTION_5	2L				
CENTAUR_OF_ATTENTION_6	15L	30L + 500			10000
CENTAUR_OF_ATTENTION_TITAN	(L^2)*.2 + 3L				
COSMIC_ELF_0					
COSMIC_ELF_1					12000
COSMIC_ELF_2	125 + 20L + S 				6000
COSMIC_ELF_3	12L + .8S	5L			
