	UNIT	RARITY	CATEGORY	VISUAL_DURATION	DURATION	COOLDOWN	INIT_COOLDOWN	PRIORITY	TRIGGER_RANGE	CAST_RANGE	SPLASH_RANGE	MISC_RANGE	DAMAGE_TYPE	DAMAGE_SUB_TYPE	TAGS	PROJECTILE_TYPE	ENERGY_GAIN	TARGET_TAG
FAITH_HEALER_0	FAITH_HEALER	DEFAULT	AUTO_ATTACK	0	3.1	3.1	0.775	4	1625	1725			PHYSICAL	BASHING	PHYSICAL,BASHING,RANGED	FAITH_HEALER_BOOK_1	90	
FAITH_HEALER_1	FAITH_HEALER	WHITE	ACTIVE	0.7	3	-1	-1	1	2525				MAGIC			NONE	0	
FAITH_HEALER_2	FAITH_HEALER	GREEN	OTHER	0	3.5	14	3.5	2	1625	1725			MAGIC	BASHING	MAGIC,BASHING,RANGED	FAITH_HEALER_BOOK_2	90	
FAITH_HEALER_3	FAITH_HEALER	BLUE	OTHER	0	3	14	3.5	3	1625				MAGIC		MAGIC	NONE	90	
FAITH_HEALER_4	FAITH_HEALER	PURPLE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
FAITH_HEALER_5	FAITH_HEALER	ORANGE	OTHER	0	-1	-1	-1	-1					MAGIC			NONE	0	
CENTAUR_OF_ATTENTION_0	CENTAUR_OF_ATTENTION	DEFAULT	AUTO_ATTACK	0	1	3.5	0.875	4	1625	1725			PHYSICAL	BASHING	PHYSICAL,BASHING,RANGED	CENTAUR_OF_ATTENTION_0	90	
CENTAUR_OF_ATTENTION_1	CENTAUR_OF_ATTENTION	WHITE	ACTIVE	1	3	-1	-1	1	1625	2525			PHYSICAL	BASHING	PHYSICAL,BASHING,RANGED	CENTAUR_OF_ATTENTION_1	0	
CENTAUR_OF_ATTENTION_2	CENTAUR_OF_ATTENTION	GREEN	OTHER	0	3	15	3.75	3	1625	1725			PHYSICAL	BASHING	PHYSICAL,BASHING,RANGED	CENTAUR_OF_ATTENTION_2	90	
CENTAUR_OF_ATTENTION_3	CENTAUR_OF_ATTENTION	BLUE	OTHER	0	3	15	3.75	4	1625		300	200	MAGIC			CENTAUR_OF_ATTENTION_3	90	
