	VERTICAL_SORTING	SUB_SECTION	STARTING_STARS	SECTION	ROLE	CORE_STAT	STRENGTH	INTELLECT	AGILITY	MAX_HP	ATTACK_DAMAGE	MAGIC_POWER	ARMOR	MAGIC_RESISTANCE	PHYSICAL_CRIT	ACCURACY	IS_HERO	STARTING_SKILLS	TAGS
AQUATIC_MAN	1400	1250	1	CENTRAL	DPS	AGILITY	21	19	22	171	13	0	0	0	0	0	TRUE	AQUATIC_MAN_0	MELEE,TASTY,REVERENT,MALE,FLAMES_OF_PASSION
BANSHEE	1625	1350	1	CENTRAL	CONTROL	INTELLECT	12	27	18	214	17	0	0	0	0	0	TRUE	BANSHEE_0	RANGED,FEMALE
BARDBARIAN	1450	100	2	CENTRAL	SUPPORT	AGILITY	17	13	21	167	19	0	0	0	0	0	TRUE	BARDBARIAN_0	RANGED,MELEE,TASTY,REVERENT,FEMALE
BONE_DRAGON	3000	435	3	CENTRAL	DPS	STRENGTH	25	20	16	167	20	0	0	0	0	0	TRUE	BONE_DRAGON_0	RANGED,DRAGON,FEMALE
BROZERKER	2100	400	3	FRONT	TANK	STRENGTH	26	23	19	171	17	0	0	0	0	0	TRUE	BROZERKER_0	MELEE,HEAVY,REVERENT,MALE
BURNT_ONE	4250	155	3	FRONT	DPS	AGILITY	20	18	26	153	23	0	0	0	0	0	TRUE	BURNT_ONE_0	MELEE,MALE,GOOD_LOOKING
CATAPULT_KNIGHT	1300	700	1	CENTRAL	DPS	INTELLECT	17	27	13	167	23	0	0	0	0	0	TRUE	CATAPULT_KNIGHT_0	RANGED,HEAVY,MALE,LOYAL_MATEY
CENTAUR_OF_ATTENTION	2550	400	1	BACK	DPS	AGILITY	17	15	26	167	22	0	0	0	0	0	TRUE	CENTAUR_OF_ATTENTION_6,CENTAUR_OF_ATTENTION_0	RANGED,REVERENT,MALE
COSMIC_ELF	900	800	2	CENTRAL	CONTROL	INTELLECT	18	28	17	169	19	0	0	0	0	0	TRUE	COSMIC_ELF_6	RANGED,TASTY,REVERENT,MALE,EYES_OF_ENLIGHTENMENT
CRIMSON_WITCH	3550	300	1	BACK	SUPPORT	AGILITY	17	20	17	167	5	0	0	0	0	0	TRUE	CRIMSON_WITCH_3,CRIMSON_WITCH_0	RANGED,FEMALE,TEA_PARTY_WITH_WIZARDS
CURSED_STATUE	2775	750	2	BACK	CONTROL	INTELLECT	12	27	17	214	18	0	0	0	0	0	TRUE	CURSED_STATUE_0	RANGED,HEAVY,MALE,LONELY_HERO
CYCLOPS_WIZARD	1600	750	1	CENTRAL	SUPPORT	INTELLECT	21	25	11	152	17	0	0	0	0	0	TRUE	CYCLOPS_WIZARD_0	RANGED,HEAVY,REVERENT,MALE,BOAST_OF_HEAD
DARK_DRACUL	2900	300	1	CENTRAL	DPS	INTELLECT	25	29	11	177	20	0	0	0	0	0	TRUE	DARK_DRACUL_0	RANGED,DRAGON,MALE
DARK_HORSE	2700	350	3	FRONT	TANK	STRENGTH	25	13	22	199	20	0	0	0	0	0	TRUE	DARK_HORSE_3,DARK_HORSE_0	MELEE,HEAVY,REVERENT,MALE
DEEP_DRAGON	3600	2010	2	BACK	SUPPORT	INTELLECT	20	25	12	165	10	0	0	0	0	0	TRUE	DEEP_DRAGON_6,DEEP_DRAGON_0	RANGED,DRAGON,HEAVY,REVERENT,MALE,I_LOVE_THE_SEA
DEMON_TOTEM	2950	1050	3	FRONT	DPS	AGILITY	29	24	21	109	13	0	0	0	0	0	TRUE	DEMON_TOTEM_0	MELEE,UNSTABLE,MALE,HARVEST_PARTY
DOPPELGANGER	1550	1400	1	CENTRAL	CONTROL	AGILITY	20	20	20	140	18	0	0	0	0	0	TRUE	DOPPELGANGER_0	RANGED,UNSTABLE,MALE
DRAGON_LADY	1350	325	1	FRONT	TANK	STRENGTH	24	18	14	174	24	0	0	0	0	0	TRUE	DRAGON_LADY_0	MELEE,TASTY,REVERENT,FEMALE,LONELY_HERO
DRAGZILLA	3700	635	2	BACK	DPS	AGILITY	19	14	25	131	8	0	0	0	0	0	TRUE	DRAGZILLA_0	RANGED,DRAGON,REVERENT,MALE,PIOUS_HALO
DRUIDINATRIX	2250	1100	3	FRONT	DPS	STRENGTH	19	61	40	162	-5	0	0	0	0	0	TRUE	DRUIDINATRIX_0	MELEE,RANGED,REVERENT,FEMALE,LAMB_LOVER,HARVEST_PARTY
DUNGEON_MAN	1275	1125	2	CENTRAL	CONTROL	INTELLECT	12	27	17	214	18	0	0	0	0	0	TRUE	DUNGEON_MAN_0	RANGED,REVERENT,MALE
DUST_DEVIL	400	400	2	CENTRAL	CONTROL	INTELLECT	25	29	11	177	20	0	0	0	0	0	TRUE	DUST_DEVIL_0	RANGED,DRAGON,REVERENT,MALE
DWARVEN_ARCHER	1100	700	3	BACK	DPS	AGILITY	19	24	14	102	24	0	0	0	0	0	TRUE	DWARVEN_ARCHER_0	RANGED,TASTY,REVERENT,FEMALE,LOYAL_MATEY
ELECTROYETI	700	600	1	CENTRAL	DPS	INTELLECT	19	20	11	169	20	0	0	0	0	0	TRUE	ELECTROYETI_0	RANGED,TASTY,REVERENT,MALE,I_LOVE_THE_SEA
FAITH_HEALER	350	225	1	BACK	SUPPORT	INTELLECT	16	16	19	166	24	0	0	0	0	0	TRUE	FAITH_HEALER_0	RANGED,TASTY,REVERENT,MALE,TEA_PARTY_WITH_WIZARDS
FROST_GIANT	2800	1100	1	CENTRAL	DPS	INTELLECT	16	24	18	166	18	0	0	0	0	0	TRUE	FROST_GIANT_0	RANGED,REVERENT,MALE,GOOD_LOOKING,EYES_OF_ENLIGHTENMENT
GENIE	2650	650	3	BACK	DPS	STRENGTH	26	22	14	138	19	0	0	0	0	0	TRUE	GENIE_0	RANGED,MALE
