	1	2	3	4	5	6	7	8	9	10	11	12
1	6	7	5	8	4	9	3	10	2	11	1	12
2	5	6	4	7	3	8	2	9	1	10	-1	12
3	3	5	8	12	2	-2	4	6	13	-1	10	1
4	3	8	-2	6	13	-3	2	10	14	-1	4	1
5	3	-3	11	4	-4	2	8	-2	10	14	-1	1
6	3	-3	11	-4	2	4	-5	-1	8	12	-2	1
7	-3	3	-4	4	-1	1	-6	9	-5	8	-2	2
8	3	-3	-5	4	-6	-1	2	-7	-2	11	-4	1
9	3	-3	-6	4	-7	-1	2	-8	-2	8	-4	1
10	3	-3	-6	4	-8	-1	2	-9	-2	10	-4	1
11	3	-3	-8	4	-9	-1	2	-10	-2	9	-4	1
12	3	-3	-8	4	-10	-1	2	-11	-2	9	-4	1
13	3	-3	-8	4	-10	-1	2	-12	-2	8	-4	1
14	3	-3	-8	4	-10	-1	2	-12	-2	8	-4	1
15	3	-3	-8	4	-10	-1	2	-12	-2	7	-4	1
16	3	-3	-9	4	-11	-1	2	-13	-2	7	-4	1
17	3	-3	-8	4	-11	-1	2	-13	-2	7	-4	1
18	-3	3	-4	4	-12	7	-14	1	-1	5	-2	2
19	-3	3	-4	4	-11	7	-14	1	-1	5	-2	2
20	-3	3	-4	4	-9	7	-10	1	-1	5	-2	2
21	-3	3	-4	4	-8	7	-9	1	-1	5	-2	2
22	-3	3	-4	4	-7	7	-8	1	-1	5	-2	2
23	-3	3	-4	4	-5	7	-7	1	-1	5	-2	2
