	MODIFIERS
RIP	THROMBOCYTOPENIA
DRAGON_WAGON	DRAGON_SLAYER
HORROR_FLICK_SPECIAL	DUMB_PROTAGONISTS
SHARP_OBJECTS	SLASHER
LEVEL_1	NOOBS
BORING_ARGUMENT	DULL_POINT
THE_HUNT	ACHILLES_HEEL,DRAGON_SLAYER
ARMOR_UP	CHAIN_MAIL
AN_APPLE_A_DAY	DRUGS,PACIFIST
POMPEII	FRIED_UP
TOP_DRAGONSOUL_CHEF	FRIED_UP,SLICE_AND_DICE
RAINY_DAY	HYDRATION
IRON_ARMOR	IRON_PROTECTION,ENHANCED_CONDUCTIVITY
CLEAN_ENERGY	JUICED,LONG_DAY
STEROIDS	NO_PAIN_NO_GAIN
POINTY_THINGS	PIERCED_TONGUE,TOXIC_DARTS
HIGH_NOON	QUICK_DRAW
THRIFT_SHOP	SMART_SHOPPERS,XL_OUT_OF_STOCK
WISDOM_KILLS	TAMER_OF_FIRE
BRAINS_OVER_BRAWN	BRAINS_OVER_BRAWN
TOXIC_DARTS	TOXIC_DARTS
