	EFFECT_UNIT	EFFECT	EFFECT_TYPE	EFFECT_AMOUNT	EFFECT_DURATION	ICON_TAG	ATTACKER_COLOR	DEFENDER_COLOR	EFFECT_TAGS
IRON_PROTECTION	HEAVY	ARMOR	PERCENT	0.25	-1	HEAVY	GREEN	GREEN	HEAVY
ENHANCED_CONDUCTIVITY	ALL	ELECTRICAL_DMG_AMP	PERCENT	0.25	-1	ELECTRIC	GREEN	GREEN	ELECTRIC
ARMOR_PIERCER	DEFENDER & RANGED & PIERCING	ARMOR_PENETRATION	PERCENT	0.25	-1	PIERCING	WHITE	GREEN	RANGED & PIERCING
UNFOCUSED	ATTACKER & ALL	TENACITY	FLAT	-10.00	-1	KNOCKBACK	RED	WHITE	ALL
BLACK_DEATH	DEFENDER & ALL	NECROTIC_DMG_AMP	PERCENT	1.00	-1	NECROTIC	WHITE	GREEN	NECROTIC
THROMBOCYTOPENIA	ATTACKER & RANGED	LIFE_STEAL_RATING	SET	0.00	-1	HEALING	RED	WHITE	RANGED
SUNNY_DAY	DEFENDER & RANGED	ACCURACY	FLAT	-1.00	-1	RANGED	WHITE	GREEN	RANGED
OLD_AMMO	ATTACKER & RANGED	ARMOR_PENETRATION	PERCENT	-0.25	-1	RANGED	RED	WHITE	RANGED
ACHILLES_HEEL	DEFENDER & RANGED 	CRIT_DAMAGE_BONUS	PERCENT	0.10	-1	RANGED	WHITE	GREEN	RANGED
FRIED_UP	ALL	FIRE_DMG_AMP	PERCENT	3.00	-1	FIRE	GREEN	GREEN	FIRE
SLICE_AND_DICE	DEFENDER & ALL	SLASHING_DMG_AMP	PERCENT	0.25	-1	SLASHING	WHITE	GREEN	SLASHING
TENDER_MEAT	ATTACKER & TASTY & SUPPORT	ARMOR	PERCENT	-0.25	-1	TASTY	RED	WHITE	TASTY & SUPPORT 
NO_PAIN_NO_GAIN	TANK	ENERGY_WHEN_ATTACKED	PERCENT	2.00	-1	ENERGY	GREEN	GREEN	TANK
JUICED	DEFENDER & ALL	ENERGY_CONSUMPTION_REDUCTION	PERCENT	0.25	-1	ENERGY	WHITE	GREEN	ALL
BOOK_OF_DRAGONS	DEFENDER & DRAGON	SKILL_LEVEL	FLAT	5.00	-1	DRAGON	WHITE	GREEN	DRAGON
DRAGON_SLAYER	ATTACKER & DRAGON	ATTACK_DAMAGE	PERCENT	-0.75	-1	DRAGON	RED	WHITE	DRAGON
MASTER_OF_THE_SEA	DEFENDER & ALL	WATER_DMG_AMP	PERCENT	0.25	-1	WATER	WHITE	GREEN	WATER
PACIFIST	ATTACKER & ALL	ATTACK_DAMAGE	PERCENT	-0.25	-1	PHYSICAL 	RED	WHITE	ALL
LONG_DAY	ATTACKER & AGILITY	STARTING_ENERGY	SET	0.00	-1	ENERGY	RED	WHITE	AGILITY
POT_SMASH	DEFENDER & ALL	BASHING_DMG_AMP	PERCENT	0.50	-1	BASHING	WHITE	GREEN	BASHING
VAMPIRESOUL	DEFENDER & ALL	LIFE_STEAL_RATING	SET	200.00	-1	LIFE_STEAL	WHITE	GREEN	ALL
CHAIN_MAIL	DEFENDER & AGILITY	ARMOR	PERCENT	5.00	-1	HEALING	WHITE	GREEN	AGILITY
SLASHER	ATTACKER & ALL	SLASHING_DMG_AMP	PERCENT	-0.75	-1	SLASHING	RED	WHITE	SLASHING
DULL_POINT	ATTACKER & ALL	PIERCING_DMG_AMP	PERCENT	-0.80	-1	PIERCING	RED	WHITE	PIERCING
PIERCED_TONGUE	DEFENDER & TASTY & DEFENDER	PIERCING_DMG_AMP	PERCENT	0.50	-1	PIERCING	WHITE	GREEN	TASTY & PIERCING
HYDRATION	WATER	MAX_HP	PERCENT	0.10	-1	HEALING	GREEN	GREEN	WATER
DRUGS	DEFENDER & TOXIC	IMPROVE_HEALING	PERCENT	0.40	-1	HEALING	WHITE	GREEN	TOXIC
STEALBACK	DEFENDER & KNOCKBACK	LIFE_STEAL_RATING	PERCENT	1.00	-1	LIFE_STEAL	WHITE	GREEN	KNOCKBACK
TAMER_OF_FIRE	ATTACKER & ALL	FIRE_DMG_AMP	PERCENT	-0.75	-1	FIRE	RED	WHITE	FIRE & INTELLECT
BOOK_OF_TESLA	ATTACKER & ALL	ELECTRICAL_DMG_AMP	PERCENT	-0.75	-1	ELECTRIC	RED	WHITE	ELECTRIC & INTELLECT
MASTER_OF_DEATH	DEFENDER & ALL	NECROTIC_DMG_AMP	PERCENT	0.25	-1	NECROTIC	WHITE	GREEN	INTELLECT & NECROTIC
BRAINS_OVER_BRAWN	ALL	MAGIC_POWER	PERCENT	0.25	-1	MAGIC	GREEN	GREEN	INTELLECT 
TOXIC_DARTS	RANGED	TOXIC_DMG_AMP	PERCENT	0.50	-1	TOXIC	GREEN	GREEN	RANGED & TOXIC
HEAVY_AMMO	DEFENDER & RANGED	BASHING_DMG_AMP	PERCENT	0.50	-1	BASHING	WHITE	GREEN	RANGED & BASHING 
QUICK_DRAW	DEFENDER & RANGED	ATTACK_SPEED_MODIFIER	PERCENT	0.50	-1	RANGED	WHITE	GREEN	RANGED
EASY_PICKINGS	ATTACKER & AGILITY	MAX_HP	PERCENT	-0.50	-1	HEALING	RED	WHITE	AGILITY
FAITH	DEFENDER & ALL	IMPROVE_HEALING	PERCENT	1.00	-1	HEALING	WHITE	GREEN	HEALING
NOOBS	ATTACKER & DPS	MAGIC_POWER	PERCENT	-0.50	-1	MAGIC	RED	WHITE	INTELLECT
DUMB_PROTAGONISTS	ATTACKER & INTELLECT	INTELLECT	PERCENT	-0.40	-1	MAGIC	RED	WHITE	INTELLECT
XL_OUT_OF_STOCK	ATTACKER & HEAVY	ARMOR	SET	0.00	-1	ARMOR	RED	WHITE	HEAVY
SMART_SHOPPERS	DEFENDER & INTELLECT	ARMOR	PERCENT	2.00	-1	ARMOR	WHITE	GREEN	INTELLECT
