	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	GUILD_WAR_DEFENSE_1	1	1	<N_MAN>
2	GUILD_WAR_DEFENSE_2	1	1	<_GUILD_WAR_DEFENSE_2>
3	GUILD_WAR_DEFENSE_3	1	1	<_GUILD_WAR_DEFENSE_3>
4	_GUILD_WAR_DEFENSE_2	1	1	<H1_MAN_DPS>
5	_GUILD_WAR_DEFENSE_3	1	1	<__GUILD_WAR_DEFENSE_3>
6	__GUILD_WAR_DEFENSE_3	1	1	<H2_MAN_ANTI_TANK>
7	__GUILD_WAR_DEFENSE_3	1	1	<H2_MAN_OTHER>
8	N_MAN	1	1	NPC_CAULDRON_MONSTER, NPC_MR_SMASHY, NPC_EYEBALL, NPC_ICE_GOLEM, NPC_MUSHROOM
9	N_MAN	1	1	NPC_CAULDRON_MONSTER, NPC_CAULDRON_MONSTER, NPC_HEALER_SPRITE, NPC_HEAD_CRAB, NPC_MUSHROOM
10	N_MAN	1	1	NPC_SKELETON_DEER, NPC_CAULDRON_MONSTER, NPC_CLOUD_MONSTER, NPC_HEAD_CRAB, NPC_MUSHROOM
11	N_MAN	1	1	NPC_CAULDRON_MONSTER, NPC_HEAD_CRAB, NPC_CRYSTAL_GOLEM, NPC_CRYSTAL_GOLEM, NPC_ICE_GOLEM
12	N_MAN	1	1	NPC_CLOUD_MONSTER, NPC_BUFF_SPRITE, NPC_HEALER_SPRITE, NPC_MUSHROOM, NPC_MUSHROOM
13	H2_MAN_ANTI_TANK	1	1	NPC_CAULDRON_MONSTER, NPC_CAULDRON_MONSTER, NPC_MR_SMASHY, NPC_MR_SMASHY, FAITH_HEALER
14	H2_MAN_ANTI_TANK	1	1	NPC_CAULDRON_MONSTER, NPC_HEAD_CRAB, NPC_SKELETON_DEER, NPC_MUSHROOM, DARK_HORSE
15	H2_MAN_ANTI_TANK	1	1	NPC_KAMIKAZE_GNOME, NPC_CAULDRON_MONSTER, NPC_CAULDRON_MONSTER, NPC_MUSHROOM, FROST_GIANT
16	H2_MAN_OTHER	1	1	NPC_CAULDRON_MONSTER, NPC_CLOUD_MONSTER, NPC_WILDLING_SNIPER, NPC_BUFF_SPRITE, CENTAUR_OF_ATTENTION
17	H2_MAN_OTHER	1	1	NPC_CLOUD_MONSTER, NPC_MR_SMASHY, NPC_HEALER_SPRITE, NPC_BUFF_SPRITE, MINOTAUR
18	H1_MAN_DPS	1	1	NPC_CLOUD_MONSTER, NPC_INFERNO_SPIDER, NPC_HEAD_CRAB, NPC_CRYSTAL_GOLEM, UNSTABLE_UNDERSTUDY
19	H1_MAN_DPS	1	1	NPC_MR_SMASHY, NPC_MR_SMASHY, NPC_INFERNO_SPIDER, NPC_BUFF_SPRITE, UNICORGI
20	H1_MAN_DPS	1	1	NPC_MR_SMASHY, NPC_INFERNO_SPIDER, NPC_HEAD_CRAB, NPC_BUFF_SPRITE, NINJA_DWARF
21	H1_MAN_DPS	1	1	NPC_CLOUD_MONSTER, NPC_CAULDRON_MONSTER, NPC_HEALER_SPRITE, NPC_BUFF_SPRITE, DWARVEN_ARCHER
22	H1_MAN_DPS	1	1	NPC_MR_SMASHY, NPC_INFERNO_SPIDER, NPC_HEAD_CRAB, NPC_MUSHROOM, SKELETON_KING
