	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
2	POSSIBLE_SKINS	1	1		
3	ROOT	1	1	? RewardChoices(5) ? <ROOT_5_CHOICES> ? <ROOT_3_CHOICES>	
4	ROOT_3_CHOICES	1	1	? RunesUnlocked ? <ROOT_$Level$> ? <NR_ROOT_$Level$>	Shuffle & NumOfItems(0,3)
5	ROOT_5_CHOICES	1	1	<ROOT_3_CHOICES>,<ROOT_3_CHOICES>	Shuffle & NumOfItems(0,5)
6	ROOT_1	1	1	<GOLD_400K>,<HERO_XP_25K>,<STAMINA_60>,<RUNICITE_600>	NoDups
7	ROOT_2	1	1	<ITEM_SCRAP_5>,<ITEM_SCRAP_5>,<ITEM_SCRAP_5>	NoDups
8	ROOT_3	1	1	<STONE_SHRINE_1>,<SET_OFFER_6>,<SET_OFFER_6>,<SET_OFFER_6>	NoDups
9	ROOT_4	1	1	<SOUL_STONE_5>,<SOUL_STONE_5>,<SOUL_STONE_5>	NoDups
10	ROOT_5	1	1	<GOLD_1_4M>,<HERO_XP_75K>,<STAMINA_120>,<RUNICITE_1500>	NoDups
11	ROOT_6	1	1	<ITEM_SCRAP_15>,<ITEM_SCRAP_15>,<ITEM_SCRAP_15>	NoDups
12	ROOT_7	1	1	<STONE_SHRINE_2>,<SET_OFFER_12>,<SET_OFFER_12>,<SET_OFFER_12>	NoDups
13	ROOT_8	1	1	<SOUL_STONE_10>,<SOUL_STONE_10>,<SOUL_STONE_10>	NoDups
14	ROOT_9	1	1	<MINOR_OFFER_20>,<MAJOR_OFFER_8>,<STAMINA_240>,<RUNICITE_3000>	NoDups
15	ROOT_10	1	1	<ITEM_SCRAP_30>,<ITEM_SCRAP_30>,<ITEM_SCRAP_30>	NoDups
16	ROOT_11	1	1	<STONE_SHRINE_5>,<MAJOR_OFFER_12>,<STAMINA_300_OR_RESET>,<KS_OFFER_6>	NoDups
17	ROOT_12	1	1	<SOUL_STONE_20>,<SOUL_STONE_20>,<SOUL_STONE_20>	NoDups
18	ROOT_13	1	1	<RUNE_4_STAR>,<RUNE_4_STAR>,<RUNE_4_STAR>	NoParamDups(Slot,50) & NoParamDups(Set,50)
19	ROOT_14	1	1	<CRYSTAL_SHRINE>,<PURPLE_ITEM>,<STAMINA_RESET>,<RUNICITE_7500>	NoDups
20	NR_ROOT_1	1	1	<GOLD_400K>,<HERO_XP_25K>,<STAMINA_60>	NoDups
21	NR_ROOT_2	1	1	<ITEM_SCRAP_5>,<ITEM_SCRAP_5>,<ITEM_SCRAP_5>	NoDups
22	NR_ROOT_3	1	1	<ITEM_SCRAP_5>,<GOLD_400K>,<HERO_XP_25K>	NoDups
23	NR_ROOT_4	1	1	<SOUL_STONE_5>,<SOUL_STONE_5>,<SOUL_STONE_5>	NoDups
24	NR_ROOT_5	1	1	<GOLD_1_4M>,<HERO_XP_75K>,<STAMINA_120>	NoDups
25	NR_ROOT_6	1	1	<ITEM_SCRAP_15>,<ITEM_SCRAP_15>,<ITEM_SCRAP_15>	NoDups
26	NR_ROOT_7	1	1	<ITEM_SCRAP_15>,<GOLD_1_4M>,<HERO_XP_75K>	NoDups
27	NR_ROOT_8	1	1	<SOUL_STONE_10>,<SOUL_STONE_10>,<SOUL_STONE_10>	NoDups
28	NR_ROOT_9	1	1	<GOLD_2_4M>,<HERO_XP_112K>,<STAMINA_240>	NoDups
29	NR_ROOT_10	1	1	<ITEM_SCRAP_30>,<ITEM_SCRAP_30>,<SOUL_STONE_10>,<SOUL_STONE_10>	NoDups
